Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 04:05:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:10:08,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:15:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:20:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:25:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:30:07,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:35:08,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:40:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:45:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:50:08,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 04:55:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:00:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:05:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:10:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:15:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:20:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:25:07,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:30:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:35:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:40:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:45:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:50:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 05:55:08,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:00:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:05:08,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:10:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:15:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:20:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:25:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:30:11,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:35:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:40:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:45:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:50:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 06:55:08,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:00:16,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:05:12,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:10:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:15:12,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:20:13,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:25:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:30:13,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:35:12,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:40:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:45:12,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:50:09,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 07:55:10,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 08:00:15,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
04/03/2021 08:05:13,50.0,9.94,0.00,0.00,258.64,9.97,9.94,9.89,10.0796,
