Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 21:05:05,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:10:05,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:15:05,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:20:04,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:25:05,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:30:06,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:35:05,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:40:04,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:45:05,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:50:06,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 21:55:04,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:00:06,52.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:05:05,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:10:05,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:15:05,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:20:05,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:25:06,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:30:06,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:35:04,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:40:06,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:45:04,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:50:05,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 22:55:06,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 23:00:05,55.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
24/02/2021 23:05:05,57.0,52.90,0.00,0.91,18370000.0,51.95,52.90,51.29,53.21,
