Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:42,303.0,42.85,-2.13,0.00,7440000.0,44.97,44.97,40.0,46.23,
23/02/2021 17:35:02,303.0,42.84,-2.13,0.00,7450000.0,44.97,44.97,40.0,46.23,
23/02/2021 17:40:03,303.0,42.97,-2.00,0.00,7460000.0,44.97,44.97,40.0,46.23,
23/02/2021 17:45:02,303.0,42.99,-1.98,0.00,7470000.0,44.97,44.97,40.0,46.23,
23/02/2021 17:50:03,303.0,42.95,-2.02,0.00,7480000.0,44.97,44.97,40.0,46.23,
23/02/2021 17:55:02,303.0,42.97,-2.01,0.00,7480000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:00:03,303.0,43.50,-1.47,0.00,7490000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:05:03,328.0,43.41,-1.56,0.00,7490000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:10:03,328.0,43.02,-1.95,0.00,7490000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:15:03,328.0,43.41,-1.56,0.00,7510000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:20:03,328.0,43.40,-1.57,0.00,7510000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:25:03,328.0,43.40,-1.57,0.00,7510000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:30:02,328.0,43.45,-1.52,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:35:03,328.0,43.50,-1.47,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:40:03,328.0,43.55,-1.42,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:45:03,328.0,43.80,-1.17,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:50:02,328.0,43.80,-1.17,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 18:55:02,328.0,43.80,-1.17,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 19:00:03,328.0,43.75,-1.22,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 19:05:03,353.0,43.46,-1.51,0.00,7520000.0,44.97,44.97,40.0,46.23,
23/02/2021 19:10:03,353.0,43.50,-1.47,0.00,7530000.0,44.97,44.97,40.0,46.23,
23/02/2021 19:15:03,353.0,44.24,-0.73,0.00,7530000.0,44.97,44.97,40.0,46.23,
