Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 05:05:10,57.0,13.49,0.63,4.90,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:10:08,57.0,13.48,0.62,4.82,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:15:12,57.0,13.45,0.59,4.59,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:20:07,57.0,13.45,0.59,4.59,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:25:08,57.0,13.45,0.59,4.59,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:30:09,57.0,13.60,0.74,5.75,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:35:08,57.0,13.68,0.82,6.38,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:40:10,57.0,13.68,0.82,6.38,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:45:09,57.0,13.68,0.82,6.38,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:50:10,57.0,13.68,0.82,6.38,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 05:55:09,57.0,13.65,0.79,6.14,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:00:16,57.0,13.65,0.79,6.14,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:05:11,65.0,13.61,0.75,5.83,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:10:08,65.0,13.64,0.78,6.07,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:15:10,65.0,13.60,0.74,5.75,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:20:08,65.0,13.60,0.74,5.75,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:25:07,65.0,13.60,0.74,5.75,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:30:11,65.0,13.60,0.74,5.75,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:35:10,65.0,13.64,0.78,6.07,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:40:11,65.0,13.63,0.77,5.99,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:45:10,65.0,13.63,0.77,5.99,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:50:08,65.0,13.63,0.77,5.99,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 06:55:09,65.0,13.63,0.77,5.99,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:00:17,65.0,13.54,0.68,5.29,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:05:11,73.0,13.33,0.47,3.65,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:10:11,73.0,13.44,0.58,4.51,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:15:08,73.0,13.25,0.39,3.03,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:20:09,73.0,13.25,0.39,3.03,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:25:13,73.0,13.25,0.39,3.03,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:30:13,73.0,13.44,0.58,4.51,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:35:12,73.0,13.44,0.58,4.51,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:40:09,73.0,13.26,0.40,3.11,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:45:09,73.0,13.40,0.54,4.20,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:50:09,73.0,13.42,0.56,4.35,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 07:55:09,73.0,13.42,0.56,4.35,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:00:12,73.0,13.39,0.53,4.12,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:05:09,81.0,13.35,0.49,3.81,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:10:10,81.0,13.33,0.47,3.65,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:15:10,81.0,13.34,0.48,3.73,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:20:10,81.0,13.30,0.44,3.42,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:25:10,81.0,13.30,0.44,3.42,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:30:08,81.0,13.32,0.46,3.58,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:35:10,81.0,13.26,0.40,3.11,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:40:13,81.0,13.26,0.40,3.11,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:45:09,81.0,13.25,0.39,3.03,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:50:09,81.0,13.30,0.44,3.42,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 08:55:12,81.0,13.25,0.39,3.03,4110000.0,13.3,12.86,12.75,13.6162,
01/03/2021 09:00:11,81.0,13.25,0.39,3.03,4110000.0,13.3,12.86,12.75,13.6162,
