Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 23:05:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:10:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:15:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:20:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:25:03,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:30:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:35:05,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:40:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:45:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:50:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
23/02/2021 23:55:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:00:04,50.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:05:03,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:10:04,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:15:04,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:20:04,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:25:04,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:35:04,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:40:04,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:45:05,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:50:03,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 00:55:05,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:00:05,52.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:05:05,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:10:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:15:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:20:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:25:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:30:05,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:35:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:40:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:45:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:50:05,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 01:55:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 02:00:04,54.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 02:05:04,56.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 02:10:05,56.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 02:15:04,56.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
24/02/2021 02:20:05,56.0,20.21,0.05,-0.33,22900000.0,20.52,20.16,19.79,20.57,
