Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 02:05:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:10:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:15:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:20:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:25:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:30:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:35:03,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:40:04,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:45:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:50:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 02:55:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:00:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:05:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:10:04,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:15:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:20:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:25:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:30:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:35:04,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:40:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:45:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:50:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 03:55:05,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:00:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:05:06,57.0,1.96,-0.01,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:10:05,57.0,1.90,-0.07,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:15:06,57.0,1.90,-0.07,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:20:05,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:25:05,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:30:06,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:35:06,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:40:06,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:45:05,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:50:06,57.0,1.94,-0.03,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 04:55:06,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:00:06,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:05:06,57.0,1.93,-0.04,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:10:06,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:15:06,57.0,1.90,-0.07,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:20:05,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:25:07,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:30:06,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:35:06,57.0,1.91,-0.06,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:40:06,57.0,1.92,-0.05,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:45:05,57.0,1.90,-0.07,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:50:07,57.0,1.89,-0.08,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 05:55:07,57.0,1.88,-0.09,-0.34,66280000.0,1.99,1.97,1.86,2.06,
25/02/2021 06:00:06,57.0,1.88,-0.09,-0.34,66280000.0,1.99,1.97,1.86,2.06,
