Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 09:10:07,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:15:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:20:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:25:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:30:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:35:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:40:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:45:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:50:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 09:55:07,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:00:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:05:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:10:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:15:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:20:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:25:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:30:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:35:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:40:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:45:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:50:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 10:55:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:00:13,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:05:13,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:10:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:15:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:20:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:25:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:30:08,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:35:08,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:40:08,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:45:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:50:08,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 11:55:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:00:14,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:05:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:10:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:15:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:20:07,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:25:10,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:30:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:35:11,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:40:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:45:07,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:50:08,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
28/02/2021 12:55:09,50.0,22.25,0.15,3.64,1910000.0,22.35,22.10,20.94,22.8699,
