Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 11:50:06,50.0,88.08,0.96,0.83,236.97,87.64,87.12,85.62,88.46,
26/02/2021 11:55:06,50.0,87.69,0.57,0.89,243.76,87.64,87.12,85.62,88.46,
26/02/2021 12:00:07,50.0,88.05,0.93,0.93,248.61,87.64,87.12,85.62,88.46,
26/02/2021 12:05:06,51.0,88.21,1.09,0.82,251.79,87.64,87.12,85.62,88.46,
26/02/2021 12:10:05,51.0,88.64,1.52,0.97,260.54,87.64,87.12,85.62,88.6413,
26/02/2021 12:15:05,51.0,88.71,1.59,0.96,262.09,87.64,87.12,85.62,88.77,
26/02/2021 12:20:05,51.0,88.71,1.59,1.48,266.52,87.64,87.12,85.62,88.86,
26/02/2021 12:25:05,51.0,88.79,1.66,1.73,272.13,87.64,87.12,85.62,88.94,
26/02/2021 12:30:06,51.0,88.70,1.58,1.41,276.34,87.64,87.12,85.62,88.94,
26/02/2021 12:35:07,51.0,88.63,1.51,1.16,278.29,87.64,87.12,85.62,88.94,
26/02/2021 12:40:06,51.0,88.63,1.51,0.92,280.95,87.64,87.12,85.62,88.94,
26/02/2021 12:45:05,51.0,88.46,1.34,0.75,286.74,87.64,87.12,85.62,88.94,
26/02/2021 12:50:06,51.0,88.52,1.40,0.76,290.5,87.64,87.12,85.62,88.94,
26/02/2021 12:55:05,51.0,88.55,1.43,0.79,293.69,87.64,87.12,85.62,88.94,
26/02/2021 13:00:07,51.0,88.25,1.13,0.51,299.71,87.64,87.12,85.62,88.94,
26/02/2021 13:05:07,52.0,88.17,1.05,0.27,304.36,87.64,87.12,85.62,88.94,
26/02/2021 13:10:07,52.0,88.33,1.21,0.55,308.22,87.64,87.12,85.62,88.94,
26/02/2021 13:15:05,52.0,88.42,1.30,0.55,312.05,87.64,87.12,85.62,88.94,
26/02/2021 13:20:07,52.0,88.57,1.45,0.68,316.24,87.64,87.12,85.62,88.94,
26/02/2021 13:25:07,52.0,88.43,1.31,0.68,319.72,87.64,87.12,85.62,88.94,
26/02/2021 13:30:06,52.0,88.67,1.55,0.73,322.12,87.64,87.12,85.62,88.94,
26/02/2021 13:35:06,52.0,88.41,1.29,0.42,324.1,87.64,87.12,85.62,88.94,
26/02/2021 13:40:06,52.0,88.20,1.08,0.34,327.52,87.64,87.12,85.62,88.94,
26/02/2021 13:45:06,52.0,88.41,1.29,0.43,330,87.64,87.12,85.62,88.94,
26/02/2021 13:50:04,52.0,88.18,1.06,0.28,335,87.64,87.12,85.62,88.94,
26/02/2021 13:55:05,52.0,88.16,1.04,0.38,339.98,87.64,87.12,85.62,88.94,
26/02/2021 14:00:09,52.0,88.46,1.34,0.66,341.9,87.64,87.12,85.62,88.94,
26/02/2021 14:05:06,52.0,88.13,1.01,0.57,345.4,87.64,87.12,85.62,88.94,
26/02/2021 14:10:05,52.0,88.18,1.06,0.31,352.58,87.64,87.12,85.62,88.94,
26/02/2021 14:15:05,52.0,88.17,1.05,0.25,356.73,87.64,87.12,85.62,88.94,
26/02/2021 14:20:06,52.0,87.77,0.65,-0.05,363.1,87.64,87.12,85.62,88.94,
26/02/2021 14:25:07,52.0,87.61,0.49,-0.10,370.64,87.64,87.12,85.62,88.94,
26/02/2021 14:30:05,52.0,87.56,0.44,-0.10,374.69,87.64,87.12,85.62,88.94,
26/02/2021 14:35:07,52.0,87.60,0.48,0.51,377.63,87.64,87.12,85.62,88.94,
26/02/2021 14:40:06,52.0,87.76,0.64,0.55,386.07,87.64,87.12,85.62,88.94,
26/02/2021 14:45:07,52.0,87.56,0.44,0.31,390.56,87.64,87.12,85.62,88.94,
26/02/2021 14:50:07,52.0,87.84,0.71,0.40,394.37,87.64,87.12,85.62,88.94,
26/02/2021 14:55:06,52.0,87.86,0.74,0.29,398.08,87.64,87.12,85.62,88.94,
26/02/2021 15:00:09,52.0,87.89,0.77,0.42,403.28,87.64,87.12,85.62,88.94,
26/02/2021 15:05:06,52.0,88.08,0.96,0.42,405.48,87.64,87.12,85.62,88.94,
26/02/2021 15:10:07,52.0,88.24,1.12,0.58,408.79,87.64,87.12,85.62,88.94,
26/02/2021 15:15:08,52.0,88.05,0.93,0.21,412.72,87.64,87.12,85.62,88.94,
26/02/2021 15:20:07,52.0,88.07,0.95,0.43,421.06,87.64,87.12,85.62,88.94,
26/02/2021 15:25:08,52.0,88.02,0.90,0.38,425.84,87.64,87.12,85.62,88.94,
26/02/2021 15:30:07,52.0,87.88,0.76,0.30,430.14,87.64,87.12,85.62,88.94,
26/02/2021 15:35:06,52.0,87.80,0.68,0.58,442.73,87.64,87.12,85.62,88.94,
26/02/2021 15:40:08,52.0,88.27,1.15,0.59,450.93,87.64,87.12,85.62,88.94,
26/02/2021 15:45:06,52.0,88.42,1.30,0.53,462.34,87.64,87.12,85.62,88.94,
26/02/2021 15:50:08,52.0,88.72,1.60,0.59,480.46,87.64,87.12,85.62,88.94,
26/02/2021 15:55:08,52.0,88.15,1.03,0.36,497.53,87.64,87.12,85.62,88.94,
