Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 22:05:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:10:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:15:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:20:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:25:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:30:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:35:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:40:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:45:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:50:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 22:55:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:00:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:05:06,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:10:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:15:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:20:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:25:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:30:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:35:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:40:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:45:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:50:03,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
23/02/2021 23:55:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:00:04,50.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:05:02,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:10:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:15:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:20:03,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:25:03,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:30:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:35:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:40:03,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:45:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:50:03,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 00:55:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 01:00:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 01:05:05,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 01:10:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 01:15:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 01:20:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
24/02/2021 01:25:04,55.0,268.33,1.09,0.85,12110000.0,269.38,267.24,257.58,269.67,
