Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 07:05:06,51.0,14.50,-0.52,-3.46,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:10:09,51.0,14.32,-0.70,-4.66,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:15:06,51.0,14.32,-0.70,-4.66,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:20:07,51.0,14.32,-0.70,-4.66,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:25:06,51.0,14.32,-0.70,-4.66,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:30:09,51.0,14.32,-0.71,-4.66,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:35:12,51.0,14.97,-0.05,-0.33,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:40:07,51.0,14.97,-0.05,-0.33,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:45:09,51.0,14.97,-0.05,-0.33,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:50:06,51.0,14.71,-0.31,-2.06,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 07:55:07,51.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:00:11,51.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:05:11,55.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:10:07,55.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:15:08,55.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:20:10,55.0,14.85,-0.17,-1.13,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:25:09,55.0,15.13,0.11,0.73,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:30:10,55.0,15.02,0.00,0.00,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:35:10,55.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:40:09,55.0,14.80,-0.22,-1.46,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:45:08,55.0,14.80,-0.22,-1.46,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:50:11,55.0,14.80,-0.22,-1.46,2300000.0,16.02,15.02,14.6,16.1,
04/03/2021 08:55:05,55.0,14.75,-0.27,-1.80,2300000.0,16.02,15.02,14.6,16.1,
