Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 19:05:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:10:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:15:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:20:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:25:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:30:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:35:08,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:40:03,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:45:03,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:50:03,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 19:55:03,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:00:04,53.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:05:03,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:10:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:15:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:20:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:25:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:30:03,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:35:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:40:03,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:45:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:50:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 20:55:03,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:00:04,54.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:05:03,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:10:03,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:15:03,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:20:04,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:25:04,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:30:04,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:35:04,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:40:03,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:45:03,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:50:04,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 21:55:04,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:00:05,57.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:05:04,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:10:04,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:15:04,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:20:03,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:25:04,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:30:05,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:35:04,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
23/02/2021 22:40:04,60.0,72.50,0.02,1.68,741.55,72.74,72.48,70.81,72.94,
