Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 23:05:32,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:10:13,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:15:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:20:12,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:25:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:30:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:35:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:40:14,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:45:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:50:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
26/02/2021 23:55:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:00:14,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:05:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:10:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:15:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:20:12,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:25:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:30:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:35:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:40:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:45:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:50:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 00:55:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:00:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:05:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:10:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:15:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:20:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:25:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:30:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:35:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:40:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:45:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:50:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 01:55:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:00:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:05:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:10:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:15:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:20:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:25:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:30:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:35:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:40:08,50.0,110.00,-0.31,-0.28,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:45:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:50:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 02:55:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:00:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:05:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:10:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:15:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:20:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:25:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:30:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:35:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:40:06,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:45:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:50:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 03:55:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:00:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:05:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:10:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:15:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:20:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:25:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:30:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:35:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:40:07,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:45:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:50:19,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 04:55:12,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:00:32,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:05:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:10:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:15:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:20:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:25:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:30:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:35:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:40:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:45:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:50:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 05:55:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:00:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:05:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:10:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:15:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:20:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:25:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:30:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:35:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:40:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:45:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:50:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 06:55:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:00:14,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:05:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:10:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:15:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:20:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:25:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:30:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:35:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:40:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:45:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:50:11,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 07:55:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:00:12,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:05:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:10:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:15:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:20:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:25:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:30:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:35:10,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:40:08,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
27/02/2021 08:45:09,50.0,110.00,-0.31,-2.49,3260000.0,112.61,110.31,110.14,112.99,
