Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 15:05:05,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:10:07,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:15:05,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:20:06,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:25:05,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:30:07,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:35:06,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:40:08,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:45:06,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:50:06,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 15:55:06,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:00:08,50.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:05:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:10:07,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:15:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:20:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:25:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:30:08,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:35:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:40:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:45:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:50:06,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 16:55:07,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:00:07,51.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:05:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:10:07,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:15:07,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:20:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:25:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:30:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:35:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:40:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:45:06,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:50:10,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 17:55:07,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:00:08,53.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:05:08,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:10:07,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:15:07,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:20:08,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:25:06,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:30:06,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:35:07,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
27/02/2021 18:40:10,54.0,7.40,0.05,0.68,28.08,8.01,7.35,7.29,8.1003,
