Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 17:35:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 17:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 17:45:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 17:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 17:55:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:00:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:30:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:35:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:50:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 18:55:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:00:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:30:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:35:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:50:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 19:55:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:00:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:30:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:35:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 20:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:00:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:05:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:30:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:35:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:45:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 21:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:00:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:35:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:45:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 22:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:30:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:35:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
23/02/2021 23:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:00:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:05:08,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:30:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:35:08,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:40:08,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:45:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:50:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 00:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:00:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:05:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:25:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:35:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 01:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:00:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:15:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:20:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:35:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:40:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:50:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 02:55:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:00:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:05:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:15:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:20:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:25:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:35:03,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:40:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:50:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 03:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:00:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:05:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:10:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:15:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:25:08,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:30:11,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:35:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:40:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:45:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:50:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 04:55:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:00:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:05:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:15:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:20:04,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:25:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:35:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:40:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:45:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:50:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 05:55:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:00:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:05:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:15:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:20:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:25:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:35:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:40:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:45:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:50:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 06:55:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:00:07,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:05:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:15:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:20:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:25:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:30:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:35:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:40:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:45:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:50:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 07:55:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:00:07,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:05:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:10:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:15:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:20:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:25:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:30:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:35:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:40:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:45:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:50:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 08:55:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:00:07,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:05:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:10:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:15:05,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:20:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:25:06,89.0,22.68,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:30:05,89.0,22.66,0.02,2.00,454.56,22.79,22.66,22.12,23.07,
24/02/2021 09:35:06,89.0,22.73,0.09,2.83,455.78,22.79,22.66,22.12,23.07,
24/02/2021 09:40:05,89.0,22.55,-0.09,2.73,456.78,22.79,22.66,22.12,23.07,
24/02/2021 09:45:06,89.0,22.76,0.10,1.10,10.76,22.79,22.66,22.55,22.87,
24/02/2021 09:50:06,89.0,22.88,0.22,1.67,23.69,22.79,22.66,22.55,22.88,
24/02/2021 09:55:06,89.0,22.87,0.21,1.91,38.77,22.79,22.66,22.52,22.9,
24/02/2021 10:00:07,89.0,22.95,0.29,2.63,60.99,22.79,22.66,22.52,22.97,
24/02/2021 10:05:06,89.0,23.00,0.34,3.15,84.96,22.79,22.66,22.52,23.0,
24/02/2021 10:10:07,89.0,23.02,0.36,2.75,93.71,22.79,22.66,22.52,23.07,
24/02/2021 10:15:06,89.0,22.95,0.29,3.06,118.63,22.79,22.66,22.52,23.07,
24/02/2021 10:20:05,89.0,23.01,0.35,2.82,134.71,22.79,22.66,22.52,23.07,
24/02/2021 10:25:06,89.0,23.16,0.50,2.68,148.8,22.79,22.66,22.52,23.16,
24/02/2021 10:30:06,89.0,23.15,0.49,2.58,164.95,22.79,22.66,22.52,23.23,
24/02/2021 10:35:06,89.0,23.20,0.54,3.39,168.73,22.79,22.66,22.52,23.23,
24/02/2021 10:40:06,89.0,23.19,0.53,3.58,180.12,22.79,22.66,22.52,23.23,
24/02/2021 10:46:17,89.0,23.03,0.37,2.77,199.96,22.79,22.66,22.52,23.24,
24/02/2021 10:50:07,89.0,23.02,0.36,2.58,215.22,22.79,22.66,22.52,23.24,
24/02/2021 10:54:38,89.0,23.04,0.38,2.77,222.23,22.79,22.66,22.52,23.24,
24/02/2021 10:55:06,89.0,23.04,0.38,2.82,222.63,22.79,22.66,22.52,23.24,
24/02/2021 11:00:06,89.0,23.02,0.36,2.82,225.29,22.79,22.66,22.52,23.24,
24/02/2021 11:05:05,91.0,23.09,0.43,3.06,229.93,22.79,22.66,22.52,23.24,
24/02/2021 11:10:05,91.0,23.17,0.51,3.58,239.66,22.79,22.66,22.52,23.24,
24/02/2021 11:15:05,91.0,23.16,0.50,3.89,249.2,22.79,22.66,22.52,23.24,
24/02/2021 11:20:05,91.0,23.11,0.45,3.54,254.41,22.79,22.66,22.52,23.24,
24/02/2021 11:25:05,91.0,23.20,0.54,3.54,256.82,22.79,22.66,22.52,23.24,
24/02/2021 11:30:05,91.0,23.22,0.56,4.04,264.39,22.79,22.66,22.52,23.24,
24/02/2021 11:35:05,91.0,23.26,0.60,4.06,266.36,22.79,22.66,22.52,23.27,
24/02/2021 11:40:06,91.0,23.33,0.67,4.35,268.8,22.79,22.66,22.52,23.34,
24/02/2021 11:45:05,91.0,23.30,0.64,4.06,275.85,22.79,22.66,22.52,23.35,
24/02/2021 11:50:05,91.0,23.27,0.61,3.78,279.48,22.79,22.66,22.52,23.35,
24/02/2021 11:55:05,91.0,23.23,0.57,3.20,285.2,22.79,22.66,22.52,23.35,
24/02/2021 12:00:06,91.0,23.28,0.62,3.20,293.3,22.79,22.66,22.52,23.36,
24/02/2021 12:05:05,92.0,23.34,0.68,3.82,296.16,22.79,22.66,22.52,23.36,
24/02/2021 12:10:04,92.0,23.34,0.68,3.63,310.76,22.79,22.66,22.52,23.36,
24/02/2021 12:15:04,92.0,23.36,0.70,3.58,312.54,22.79,22.66,22.52,23.37,
24/02/2021 12:20:04,92.0,23.38,0.72,3.63,315.95,22.79,22.66,22.52,23.38,
24/02/2021 12:25:05,92.0,23.39,0.73,3.92,318.13,22.79,22.66,22.52,23.41,
24/02/2021 12:30:05,92.0,23.39,0.73,4.04,321.48,22.79,22.66,22.52,23.425,
24/02/2021 12:35:06,92.0,23.36,0.70,3.75,323.92,22.79,22.66,22.52,23.425,
24/02/2021 12:40:05,92.0,23.28,0.62,3.54,325.72,22.79,22.66,22.52,23.425,
24/02/2021 12:45:04,92.0,23.28,0.62,3.37,328.2,22.79,22.66,22.52,23.44,
24/02/2021 12:50:06,92.0,23.34,0.68,3.54,332.01,22.79,22.66,22.52,23.44,
24/02/2021 12:55:05,92.0,23.37,0.71,3.58,335.78,22.79,22.66,22.52,23.44,
24/02/2021 13:00:06,92.0,23.33,0.67,2.96,346.34,22.79,22.66,22.52,23.44,
24/02/2021 13:05:06,93.0,23.34,0.68,2.56,350.9,22.79,22.66,22.52,23.44,
24/02/2021 13:10:06,93.0,23.27,0.61,2.46,354.06,22.79,22.66,22.52,23.44,
24/02/2021 13:15:05,93.0,23.31,0.65,2.63,362.7,22.79,22.66,22.52,23.44,
24/02/2021 13:20:05,93.0,23.33,0.67,2.72,364.84,22.79,22.66,22.52,23.44,
24/02/2021 13:25:05,93.0,23.25,0.59,2.15,370.91,22.79,22.66,22.52,23.44,
24/02/2021 13:30:05,93.0,23.25,0.59,2.44,382.2,22.79,22.66,22.52,23.44,
24/02/2021 13:35:05,93.0,23.26,0.60,2.75,377.46,22.79,22.66,22.52,23.44,
24/02/2021 13:40:06,93.0,23.32,0.66,2.72,379.26,22.79,22.66,22.52,23.44,
24/02/2021 13:45:05,93.0,23.31,0.65,2.53,382.59,22.79,22.66,22.52,23.44,
