Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 17:35:03,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 17:40:04,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 17:45:03,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 17:50:03,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 17:55:03,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:00:03,73.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:05:04,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:10:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:15:04,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:20:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:25:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:30:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:35:02,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:40:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:45:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:50:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 18:55:03,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 19:00:04,79.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 19:05:04,82.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 19:10:04,82.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
23/02/2021 19:15:04,82.0,89.46,0.00,-1.75,1710000.0,91.44,89.46,88.8961,91.44,
