Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 17:05:03,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:10:09,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:15:06,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:20:06,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:25:07,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:30:05,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:35:03,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:40:10,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:45:09,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:50:06,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 17:55:06,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:00:05,52.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:05:07,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:10:07,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:15:06,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:20:05,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:25:03,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:30:07,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:35:05,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:40:06,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:45:04,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:50:06,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 18:55:06,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:00:05,55.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:05:04,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:10:06,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:15:06,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:20:07,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:25:03,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:30:03,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:35:02,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:40:05,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:45:06,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:50:06,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 19:55:06,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:00:04,58.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:05:06,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:10:06,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:15:03,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:20:06,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:25:07,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:30:04,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:35:06,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:40:07,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:45:03,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:50:05,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 20:55:07,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:00:08,61.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:05:02,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:10:02,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:15:06,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:20:05,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:25:03,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:30:04,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:35:04,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:40:07,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:45:05,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:50:07,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 21:55:04,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:00:04,64.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:05:06,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:10:07,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:15:06,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:20:04,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:25:06,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:30:06,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:35:06,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:40:07,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:45:03,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:50:03,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 22:55:08,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 23:00:09,67.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 23:05:07,70.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
27/02/2021 23:10:06,70.0,60.70,-0.08,3.74,38220000.0,60.89,60.78,59.68,61.69,
