Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 05:05:08,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:10:11,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:15:07,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:20:10,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:25:06,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:30:08,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:35:07,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:40:08,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:45:09,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:50:06,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 05:55:08,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:00:10,59.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:05:09,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:10:07,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:15:07,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:20:07,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:25:08,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:30:07,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:35:07,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:40:09,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:45:09,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:50:07,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 06:55:09,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:00:11,76.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:05:08,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:10:08,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:15:07,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:20:10,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:25:06,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:30:08,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:35:07,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:40:07,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:45:08,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:50:08,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 07:55:11,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:00:10,93.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:05:07,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:10:08,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:15:11,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:20:09,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:25:08,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:30:09,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:35:08,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:40:07,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:45:08,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:50:08,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 08:55:08,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
28/02/2021 09:00:11,110.0,93.70,-0.17,-2.94,14580000.0,92.43,93.87,90.87,94.65,
