Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 22:05:06,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:10:05,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:15:06,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:20:05,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:25:05,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:30:04,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:35:04,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:40:06,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:45:06,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:50:05,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 22:55:06,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:00:05,50.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:05:08,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:10:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:15:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:20:04,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:25:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:30:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:35:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:40:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:45:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:50:04,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
24/02/2021 23:55:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:00:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:05:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:10:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:15:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:20:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:25:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:30:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:35:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:40:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:45:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:50:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 00:55:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:00:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:05:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:10:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:15:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:20:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:25:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:30:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:35:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:40:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:45:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:50:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 01:55:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:00:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:05:04,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:10:04,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:15:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:20:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:25:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:30:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:35:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:40:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:45:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:50:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 02:55:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:00:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:05:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:10:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:15:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:20:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:25:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:30:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:35:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:40:04,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:45:06,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:50:05,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 03:55:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:00:07,52.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:05:07,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:10:06,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:15:06,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:20:07,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:25:06,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:30:05,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
25/02/2021 04:35:05,53.0,57.50,5.91,-0.90,332.9,51.68,51.59,50.8739,52.1,
