Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 05:05:03,51.0,148.88,1.71,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:10:07,51.0,148.86,1.69,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:15:05,51.0,148.86,1.69,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:20:09,51.0,148.75,1.58,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:25:08,51.0,148.75,1.58,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:30:04,51.0,148.85,1.68,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:35:08,51.0,148.91,1.74,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:40:08,51.0,149.00,1.83,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:45:07,51.0,149.00,1.83,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:50:10,51.0,149.01,1.84,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 05:55:07,51.0,149.01,1.84,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:00:05,51.0,148.93,1.76,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:05:08,53.0,149.29,2.12,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:10:08,53.0,149.80,2.63,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:15:07,53.0,149.71,2.54,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:20:08,53.0,149.71,2.54,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:25:08,53.0,149.70,2.53,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:35:08,53.0,149.00,1.83,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:40:10,53.0,149.38,2.21,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:45:05,53.0,149.38,2.21,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:50:08,53.0,149.38,2.21,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 06:55:03,53.0,149.13,1.96,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:00:10,53.0,149.10,1.93,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:05:06,55.0,149.10,1.93,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:10:09,55.0,149.00,1.83,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:20:04,55.0,148.93,1.76,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:25:08,55.0,149.04,1.87,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:30:05,55.0,149.08,1.91,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:35:04,55.0,149.08,1.91,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:40:05,55.0,149.13,1.96,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:45:03,55.0,149.25,2.08,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:50:03,55.0,149.35,2.18,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 07:55:03,55.0,149.33,2.16,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:00:11,55.0,149.06,1.89,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:05:04,57.0,149.44,2.27,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:10:03,57.0,149.63,2.46,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:15:02,57.0,149.90,2.73,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:20:07,57.0,150.01,2.84,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:25:03,57.0,149.78,2.61,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:30:08,57.0,149.63,2.46,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:35:03,57.0,149.73,2.56,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:40:03,57.0,149.60,2.43,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:45:03,57.0,149.64,2.47,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:50:04,57.0,149.43,2.26,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 08:55:03,57.0,149.47,2.30,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:00:06,57.0,149.89,2.72,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:05:11,57.0,149.65,2.48,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:10:09,57.0,149.78,2.61,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:15:11,57.0,150.00,2.83,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:20:10,57.0,150.44,3.27,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:25:10,57.0,149.79,2.62,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:30:12,57.0,147.17,-4.01,-1.56,19830000.0,150.3,147.17,146.51,150.8741,
01/03/2021 09:35:11,57.0,149.02,1.85,-1.05,150.92,149.51,147.17,148.7705,149.91,
01/03/2021 09:40:12,57.0,149.15,1.98,-1.28,287.71,149.51,147.17,148.48,149.91,
01/03/2021 09:45:11,57.0,149.12,1.95,-1.50,717.75,149.52,147.17,148.48,149.91,
01/03/2021 09:50:09,57.0,149.21,2.04,-1.30,1100000.0,149.52,147.17,148.48,149.925,
01/03/2021 09:55:09,57.0,149.04,1.87,-1.58,1430000.0,149.52,147.17,148.48,149.925,
01/03/2021 10:00:12,57.0,148.99,1.82,-1.75,1650000.0,149.52,147.17,148.48,149.925,
01/03/2021 10:05:08,59.0,149.88,2.71,-1.51,1910000.0,149.52,147.17,148.48,149.94,
01/03/2021 10:10:06,59.0,149.87,2.70,-1.60,2170000.0,149.52,147.17,148.48,150.13,
01/03/2021 10:15:05,59.0,149.87,2.70,-1.57,2380000.0,149.52,147.17,148.48,150.13,
01/03/2021 10:20:08,59.0,150.00,2.83,-1.30,2580000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:25:03,59.0,150.00,2.83,-1.18,2810000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:30:04,59.0,149.75,2.58,-1.43,3000000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:35:05,59.0,150.02,2.85,-1.45,3150000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:40:05,59.0,150.00,2.83,-1.62,3360000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:45:03,59.0,149.97,2.80,-1.62,3540000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:50:07,59.0,150.00,2.83,-1.43,3670000.0,149.52,147.17,148.48,150.2,
01/03/2021 10:55:06,59.0,150.11,2.94,-1.38,3780000.0,149.52,147.17,148.48,150.2,
01/03/2021 11:00:10,59.0,150.38,3.21,-1.08,3920000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:05:16,59.0,149.85,2.67,-1.14,4070000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:10:09,59.0,149.61,2.44,-1.19,4180000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:15:10,59.0,149.70,2.53,-1.15,4370000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:20:09,59.0,149.87,2.70,-1.08,4600000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:25:11,59.0,149.64,2.46,-1.21,4790000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:30:08,59.0,149.61,2.44,-1.41,4980000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:35:13,59.0,149.79,2.62,-1.45,5150000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:40:13,59.0,149.75,2.58,-1.35,5270000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:45:11,59.0,149.55,2.38,-1.35,5390000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:50:09,59.0,149.34,2.17,-1.41,5500000.0,149.52,147.17,148.48,150.45,
01/03/2021 11:55:12,59.0,149.27,2.09,-1.46,5620000.0,149.52,147.17,148.48,150.45,
01/03/2021 12:00:11,59.0,149.18,2.01,-1.43,5770000.0,149.52,147.17,148.48,150.45,
01/03/2021 12:05:24,59.0,149.33,2.16,-1.21,5880000.0,149.52,147.17,148.48,150.45,
01/03/2021 12:10:16,59.0,149.40,2.23,-1.11,5970000.0,149.52,147.17,148.48,150.45,
01/03/2021 12:15:19,59.0,149.47,2.30,-1.09,6120000.0,149.52,147.17,148.48,150.45,
