Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 02:05:09,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:10:10,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:15:09,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:20:08,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:25:08,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:30:08,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:35:09,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:40:10,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:45:09,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:50:09,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 02:55:07,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:00:12,51.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:05:08,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:10:10,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:15:07,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:20:09,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:25:08,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:30:08,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:35:11,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:40:09,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:45:09,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:50:08,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 03:55:09,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:00:12,53.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:05:09,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:10:07,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:15:10,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:20:08,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:25:08,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:30:09,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:35:09,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:40:09,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:45:09,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:50:10,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 04:55:09,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:00:10,55.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:05:09,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:10:11,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:15:09,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:20:08,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:25:09,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:30:08,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:35:08,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:40:09,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:45:11,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:50:07,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 05:55:08,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:00:11,57.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:05:08,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:10:08,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:15:07,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:20:08,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:25:10,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:30:07,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:35:08,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:40:09,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:45:09,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:50:10,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 06:55:09,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:00:14,59.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:05:08,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:10:08,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:15:10,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:20:09,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:25:07,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:30:09,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:35:11,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:40:08,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:45:11,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:50:07,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 07:55:10,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:00:14,61.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:05:08,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:10:09,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:15:08,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:20:07,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:25:11,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:30:08,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:35:10,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:40:10,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:45:08,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:50:09,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 08:55:09,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:00:10,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:05:11,63.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:10:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:15:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:20:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:25:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:30:07,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:35:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:40:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:45:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:50:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 09:55:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:00:13,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:05:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:10:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:15:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:20:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:25:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:30:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:35:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:40:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:45:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:50:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 10:55:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:00:11,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:05:14,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:10:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:15:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:20:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:25:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:30:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:35:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:40:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:45:11,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:50:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 11:55:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:00:14,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:05:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:10:11,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:15:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:20:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:25:11,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:30:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:35:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:40:08,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:45:11,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:50:09,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 12:55:10,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
28/02/2021 13:00:14,64.0,58.11,0.40,-0.62,4900000.0,59.0,57.71,57.63,59.16,
