Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 16:05:10,50.0,54.62,0.00,0.00,390.1,55.71,54.62,54.24,57.41,
25/02/2021 16:10:06,50.0,54.62,0.00,0.00,394.65,55.71,54.62,54.24,57.41,
25/02/2021 16:15:06,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:20:06,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:25:06,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:30:06,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:35:07,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:40:08,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:45:07,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:50:07,50.0,54.62,0.00,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 16:55:05,50.0,55.80,1.18,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 17:00:06,50.0,55.80,1.18,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 17:05:09,51.0,55.80,1.18,0.00,387.83,55.71,54.62,54.24,57.41,
25/02/2021 17:10:06,51.0,55.80,1.18,0.00,387.84,55.71,54.62,54.24,57.41,
25/02/2021 17:15:05,51.0,55.80,1.18,0.00,387.84,55.71,54.62,54.24,57.41,
25/02/2021 17:20:05,51.0,55.80,1.18,0.00,387.84,55.71,54.62,54.24,57.41,
25/02/2021 17:25:05,51.0,55.80,1.18,0.00,387.84,55.71,54.62,54.24,57.41,
25/02/2021 17:30:06,51.0,55.80,1.18,0.00,387.84,55.71,54.62,54.24,57.41,
25/02/2021 17:35:07,51.0,55.80,1.18,0.00,387.84,55.71,54.62,54.24,57.41,
