Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 22:05:12,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:10:09,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:15:09,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:20:09,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:25:07,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:30:09,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:35:11,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:40:10,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:45:09,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:50:08,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 22:55:07,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:00:10,50.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:05:07,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:10:10,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:15:07,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:20:08,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:25:08,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:30:09,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:35:08,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:40:11,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:45:07,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:50:07,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
28/02/2021 23:55:08,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:00:14,53.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:05:10,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:10:07,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:15:09,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:20:09,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:25:08,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:30:08,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:35:08,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:40:08,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:45:10,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:50:12,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 00:55:10,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:00:10,56.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:05:08,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:10:08,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:15:09,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:20:08,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:25:08,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:30:09,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:35:07,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:40:09,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:45:12,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:50:08,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 01:55:10,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:00:12,59.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:05:08,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:10:10,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:15:09,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:20:10,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:25:08,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:30:12,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:35:11,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:40:09,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:45:07,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:50:07,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 02:55:10,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:00:15,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:05:09,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:10:11,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:15:09,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:20:10,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:25:11,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:30:10,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:35:11,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:40:10,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:45:08,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:50:08,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 03:55:08,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:00:14,62.0,49.05,0.06,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:05:11,62.0,49.46,0.47,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:10:08,62.0,49.46,0.47,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:15:10,62.0,49.46,0.47,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:20:11,62.0,49.40,0.41,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:25:11,62.0,49.40,0.41,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:30:12,62.0,49.40,0.41,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:35:10,62.0,49.40,0.41,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:40:10,62.0,49.40,0.41,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:45:10,62.0,49.41,0.42,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:50:09,62.0,49.42,0.43,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 04:55:12,62.0,49.42,0.43,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:00:13,62.0,49.41,0.42,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:05:11,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:10:09,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:15:11,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:20:09,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:25:11,62.0,49.53,0.54,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:30:12,62.0,49.53,0.54,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:35:10,62.0,49.53,0.54,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:40:11,62.0,49.53,0.54,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:45:12,62.0,49.57,0.58,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:50:10,62.0,49.61,0.62,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 05:55:09,62.0,49.60,0.61,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:00:17,62.0,49.57,0.58,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:05:12,62.0,49.54,0.55,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:10:12,62.0,49.54,0.55,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:15:12,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:20:13,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:25:10,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:30:09,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:35:11,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:40:10,62.0,49.45,0.46,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:45:10,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:50:09,62.0,49.47,0.48,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 06:55:11,62.0,49.59,0.60,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:00:16,62.0,49.55,0.56,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:05:13,62.0,49.51,0.52,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:10:13,62.0,49.45,0.46,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:15:08,62.0,49.42,0.43,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:20:09,62.0,49.50,0.51,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:25:10,62.0,49.44,0.45,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:30:10,62.0,49.43,0.44,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:35:13,62.0,49.47,0.48,-0.31,23640000.0,50.2,48.99,48.97,50.21,
01/03/2021 07:40:12,62.0,49.47,0.48,-0.31,23640000.0,50.2,48.99,48.97,50.21,
