Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 08:05:10,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:10:08,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:15:09,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:20:08,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:25:10,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:30:08,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:35:11,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:40:09,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:45:10,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:50:10,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 08:55:11,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:00:14,50.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:05:05,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:10:10,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:15:10,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:20:10,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:25:09,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:30:12,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:35:11,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:40:08,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:45:11,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:50:11,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 09:55:08,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:00:11,51.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:05:07,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:10:10,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:15:10,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:20:10,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:25:08,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:30:08,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:35:09,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:40:08,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:45:08,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:50:09,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 10:55:08,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:00:09,52.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:05:12,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:10:10,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:15:07,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:20:08,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:25:07,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:30:08,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:35:06,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:40:07,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:45:08,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:50:09,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 11:55:08,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:00:11,54.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:05:08,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:10:08,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:15:08,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:20:07,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:25:07,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:30:07,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:35:10,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:40:09,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:45:07,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:50:07,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 12:55:10,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:00:08,56.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:05:08,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:10:09,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:15:09,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:20:08,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:25:08,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:30:08,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:35:07,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:40:10,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:45:07,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:50:08,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 13:55:07,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:00:09,59.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:05:07,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:10:08,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:15:08,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:20:10,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:25:08,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:30:09,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:35:07,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:40:08,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:45:10,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:50:09,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 14:55:10,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:00:10,62.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:05:07,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:10:11,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:15:08,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:20:08,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:25:08,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:30:07,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:35:08,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:40:11,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:45:07,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:50:09,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 15:55:10,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:00:13,65.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:05:08,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:10:08,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:15:07,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:20:07,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:25:08,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:30:09,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:35:08,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:40:08,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:45:09,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:50:09,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 16:55:07,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:00:13,67.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:05:09,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:10:10,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:15:09,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:20:11,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:30:09,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:35:09,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:40:09,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:45:08,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:50:08,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 17:55:09,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:00:10,69.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:05:13,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:10:10,70.0,17.81,-0.08,-0.45,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:15:18,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:20:11,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:25:08,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:30:09,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:35:11,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:40:10,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:45:10,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:50:11,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 18:55:09,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:00:10,70.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:05:12,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:10:08,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:15:10,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:20:11,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:25:07,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:30:08,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:35:07,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:40:07,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:45:08,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:50:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 19:55:08,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:00:10,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:05:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:10:12,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:15:10,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:20:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:25:08,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:30:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:35:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:40:08,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:45:10,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:50:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 20:55:09,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:00:15,71.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:05:08,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:10:12,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:15:08,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:20:07,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:25:09,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:30:07,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
28/02/2021 21:35:08,73.0,17.81,-0.08,-1.21,237.57,18.39,17.89,17.8,18.61,
