Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 18:05:04,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:10:04,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:15:03,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:20:04,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:25:03,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:30:03,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:35:03,50.0,14.00,0.16,1.16,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:40:03,50.0,13.90,0.06,0.43,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:45:03,50.0,13.90,0.06,0.43,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:50:03,50.0,13.90,0.06,0.43,241.67,14.27,13.84,13.75,14.63,
23/02/2021 18:55:03,50.0,13.90,0.06,0.43,241.92,14.27,13.84,13.75,14.63,
23/02/2021 19:00:04,50.0,13.90,0.06,0.43,241.92,14.27,13.84,13.75,14.63,
23/02/2021 19:05:04,52.0,13.90,0.06,0.43,241.92,14.27,13.84,13.75,14.63,
23/02/2021 19:10:04,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:15:04,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:20:04,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:25:04,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:30:04,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:35:08,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:40:03,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:45:03,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:50:03,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 19:55:03,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:00:03,52.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:05:04,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:10:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:15:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:20:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:25:04,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:30:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:35:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:40:04,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:45:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:50:04,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 20:55:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:00:03,54.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:05:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:10:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:15:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:20:04,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:25:04,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:30:04,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:35:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:40:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:45:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:50:04,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 21:55:03,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:00:04,56.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:05:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:10:04,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:15:04,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:20:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:25:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:30:04,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:35:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:40:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:45:04,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:50:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 22:55:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:00:03,59.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:05:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:10:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:15:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:20:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:25:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:30:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:35:04,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:40:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:45:04,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:50:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
23/02/2021 23:55:03,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:00:04,62.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:05:03,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:10:03,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:15:03,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:20:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:25:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:30:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:35:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:40:03,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:45:03,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:50:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 00:55:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 01:00:04,65.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 01:05:04,68.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 01:10:03,68.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 01:15:03,68.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
24/02/2021 01:20:04,68.0,14.00,0.16,1.16,242.02,14.27,13.84,13.75,14.63,
