Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 05:05:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:10:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:15:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:20:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:25:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:30:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:35:04,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:40:03,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:45:05,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:50:05,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 05:55:05,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:00:05,50.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:05:05,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:10:04,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:15:06,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:20:04,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:25:05,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:30:03,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:35:05,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:40:05,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:45:04,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:50:05,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 06:55:04,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:00:06,51.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:05:05,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:10:06,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:15:05,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:20:05,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:25:05,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:30:06,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:35:06,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:40:06,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:45:05,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:50:05,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 07:55:04,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:00:07,52.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:05:04,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:10:05,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:15:04,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:20:06,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:25:04,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:30:05,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:35:05,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:40:05,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:45:06,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:50:06,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 08:55:05,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:00:06,53.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:05:05,54.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:10:05,54.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:15:04,54.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:20:06,54.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:25:06,54.0,43.37,0.00,1.81,846.61,43.44,43.37,42.37,43.44,
24/02/2021 09:30:06,54.0,43.37,0.16,1.81,846.61,43.44,43.37,42.37,43.44,
