Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 10:05:07,51.0,25.11,-0.76,-2.94,5580000.0,26.34,25.87,25.11,26.801,
26/02/2021 10:10:07,51.0,24.97,-0.90,-3.48,6360000.0,26.34,25.87,24.8801,26.801,
26/02/2021 10:15:06,51.0,25.02,-0.85,-3.29,6960000.0,26.34,25.87,24.88,26.801,
26/02/2021 10:20:08,51.0,24.92,-0.95,-3.67,7690000.0,26.34,25.87,24.88,26.801,
26/02/2021 10:25:06,51.0,24.90,-0.97,-3.77,8350000.0,26.34,25.87,24.7302,26.801,
26/02/2021 10:30:09,51.0,24.65,-1.22,-4.72,8880000.0,26.34,25.87,24.6,26.801,
26/02/2021 10:35:26,51.0,24.70,-1.17,-4.52,9340000.0,26.34,25.87,24.58,26.801,
26/02/2021 10:40:11,51.0,24.92,-0.95,-3.67,9770000.0,26.34,25.87,24.58,26.801,
26/02/2021 10:45:07,51.0,25.08,-0.80,-3.07,10310000.0,26.34,25.87,24.58,26.801,
26/02/2021 10:50:07,51.0,25.18,-0.69,-2.67,10690000.0,26.34,25.87,24.58,26.801,
26/02/2021 10:55:06,51.0,25.35,-0.53,-2.03,11020000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:00:09,51.0,25.44,-0.43,-1.66,11430000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:05:10,51.0,25.71,-0.16,-0.62,11900000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:10:07,51.0,25.71,-0.16,-0.62,12320000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:15:07,51.0,25.42,-0.45,-1.74,12730000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:20:09,51.0,25.30,-0.57,-2.20,13230000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:25:07,51.0,25.48,-0.39,-1.51,13610000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:30:07,51.0,25.69,-0.18,-0.70,13960000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:35:08,51.0,26.00,0.13,0.48,14320000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:40:07,51.0,25.96,0.09,0.35,14500000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:45:08,54.0,26.00,0.13,0.50,14900000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:50:07,54.0,25.96,0.09,0.35,15160000.0,26.34,25.87,24.58,26.801,
26/02/2021 11:55:08,54.0,25.84,-0.03,-0.12,15370000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:00:08,54.0,25.98,0.11,0.43,15610000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:05:08,54.0,25.95,0.08,0.31,15830000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:10:08,54.0,25.99,0.12,0.47,15980000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:15:05,54.0,25.94,0.07,0.27,16150000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:20:08,54.0,25.98,0.11,0.43,16290000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:25:06,54.0,25.88,0.00,0.02,16440000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:30:07,54.0,25.75,-0.12,-0.46,16640000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:35:07,54.0,25.80,-0.07,-0.29,16790000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:40:07,54.0,25.75,-0.12,-0.46,16960000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:45:07,54.0,25.75,-0.12,-0.46,17110000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:50:07,54.0,25.70,-0.17,-0.66,17270000.0,26.34,25.87,24.58,26.801,
26/02/2021 12:55:07,54.0,25.79,-0.08,-0.30,17420000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:00:08,54.0,25.62,-0.25,-0.97,17560000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:05:08,54.0,25.54,-0.33,-1.28,17740000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:10:07,54.0,25.63,-0.24,-0.93,17850000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:15:07,54.0,25.48,-0.39,-1.51,17960000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:20:08,54.0,25.59,-0.28,-1.08,18070000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:25:06,54.0,25.61,-0.26,-1.01,18180000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:30:07,54.0,25.61,-0.26,-1.01,18290000.0,26.34,25.87,24.58,26.801,
26/02/2021 13:35:08,54.0,25.52,-0.35,-1.34,18380000.0,26.34,25.87,24.58,26.801,
