Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 17:35:03,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 17:40:03,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 17:45:03,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 17:50:03,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 17:55:03,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:00:03,106.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:05:04,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:10:04,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:15:04,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:20:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:25:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:30:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:35:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:40:04,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:45:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:50:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 18:55:03,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:00:04,107.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:05:04,109.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:10:04,109.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:15:04,109.0,22.50,-0.76,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:20:04,109.0,23.28,0.02,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:25:04,109.0,23.28,0.02,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:30:04,109.0,23.28,0.02,0.43,71.37,28.28,23.26,21.52,28.28,
23/02/2021 19:35:03,109.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 19:40:04,109.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 19:45:03,109.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 19:50:03,109.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 19:55:03,109.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:00:03,109.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:05:03,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:10:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:15:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:20:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:25:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:30:03,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:35:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:40:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:45:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:50:03,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 20:55:04,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:00:05,111.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:05:03,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:10:03,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:15:04,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:20:04,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:30:04,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:35:03,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:40:03,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:45:04,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:50:03,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 21:55:04,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:00:04,112.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:05:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:10:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:15:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:20:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:25:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:30:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:35:03,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:40:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:45:03,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:50:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 22:55:04,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:00:05,114.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:05:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:15:03,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:20:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:25:03,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:30:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:35:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:40:03,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:45:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:50:03,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
23/02/2021 23:55:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:00:04,115.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:05:03,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:10:05,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:15:04,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:20:04,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:25:04,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:30:04,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:35:04,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:40:03,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:45:05,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:50:03,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 00:55:05,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:00:05,117.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:05:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:10:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:15:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:20:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:25:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:30:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:35:05,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:40:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:45:03,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:50:05,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 01:55:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 02:00:04,119.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 02:05:04,120.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 02:10:05,120.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 02:15:05,120.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
24/02/2021 02:20:05,120.0,23.28,0.02,0.43,71.38,28.28,23.26,21.52,28.28,
