Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 09:30:05,61.0,5.39,0.00,-4.22,28.08,5.39,5.39,5.325,5.39,
24/02/2021 09:35:06,61.0,5.37,-0.02,-4.22,2.66,5.39,5.39,5.37,5.39,
24/02/2021 09:40:05,61.0,5.37,-0.02,-3.29,2.66,5.39,5.39,5.37,5.39,
24/02/2021 09:45:05,61.0,5.37,-0.02,-3.29,3.35,5.39,5.39,5.37,5.39,
24/02/2021 09:50:06,61.0,5.37,-0.02,-3.29,2.75,5.39,5.39,5.37,5.39,
24/02/2021 09:55:06,61.0,5.37,-0.02,0.97,2.84,5.39,5.39,5.37,5.39,
24/02/2021 10:00:06,61.0,5.37,-0.02,0.97,2.87,5.39,5.39,5.37,5.39,
24/02/2021 10:05:05,62.0,5.37,-0.02,0.97,2.87,5.39,5.39,5.37,5.39,
24/02/2021 10:10:05,62.0,5.37,-0.02,4.40,2.89,5.39,5.39,5.37,5.39,
24/02/2021 10:15:06,62.0,5.37,-0.02,2.52,2.89,5.39,5.39,5.37,5.39,
24/02/2021 10:20:05,62.0,5.38,-0.01,2.52,5.54,5.39,5.39,5.37,5.39,
24/02/2021 10:25:06,62.0,5.38,-0.01,2.52,5.57,5.39,5.39,5.37,5.39,
24/02/2021 10:30:06,62.0,5.31,-0.08,2.52,10.93,5.39,5.39,5.31,5.39,
24/02/2021 10:35:06,62.0,5.31,-0.08,2.52,10.93,5.39,5.39,5.31,5.39,
24/02/2021 10:40:06,62.0,5.31,-0.08,2.52,10.93,5.39,5.39,5.31,5.39,
24/02/2021 10:46:15,62.0,5.31,-0.08,2.52,11.26,5.39,5.39,5.31,5.39,
24/02/2021 10:50:06,62.0,5.31,-0.08,2.52,11.27,5.39,5.39,5.31,5.39,
24/02/2021 10:54:38,62.0,5.32,-0.07,2.52,11.43,5.39,5.39,5.31,5.39,
24/02/2021 10:55:05,62.0,5.32,-0.07,2.52,11.49,5.39,5.39,5.31,5.39,
24/02/2021 11:00:06,62.0,5.32,-0.07,2.52,11.53,5.39,5.39,5.31,5.39,
24/02/2021 11:05:05,63.0,5.37,-0.02,2.55,21.19,5.39,5.39,5.31,5.39,
24/02/2021 11:10:05,63.0,5.37,-0.02,2.55,21.31,5.39,5.39,5.31,5.39,
24/02/2021 11:15:06,63.0,5.35,-0.04,2.55,21.56,5.39,5.39,5.31,5.39,
24/02/2021 11:20:05,63.0,5.35,-0.04,2.52,30.3,5.39,5.39,5.31,5.39,
24/02/2021 11:25:04,63.0,5.35,-0.04,4.85,30.42,5.39,5.39,5.31,5.39,
24/02/2021 11:30:04,63.0,5.35,-0.04,4.85,21.69,5.39,5.39,5.31,5.39,
24/02/2021 11:35:04,63.0,5.35,-0.04,4.85,21.78,5.39,5.39,5.31,5.39,
24/02/2021 11:40:05,63.0,5.35,-0.04,4.85,21.87,5.39,5.39,5.31,5.39,
24/02/2021 11:45:05,63.0,5.35,-0.04,4.85,21.87,5.39,5.39,5.31,5.39,
24/02/2021 11:50:05,63.0,5.39,0.00,3.30,22.12,5.39,5.39,5.31,5.39,
24/02/2021 11:55:06,63.0,5.42,0.03,0.56,22.47,5.39,5.39,5.31,5.42,
24/02/2021 12:00:05,63.0,5.42,0.03,3.30,22.47,5.39,5.39,5.31,5.42,
24/02/2021 12:05:06,63.0,5.43,0.04,3.30,23.67,5.39,5.39,5.31,5.4379,
24/02/2021 12:10:05,63.0,5.40,0.01,3.30,23.62,5.39,5.39,5.31,5.4379,
24/02/2021 12:15:05,63.0,5.40,0.01,3.30,23.62,5.39,5.39,5.31,5.4379,
24/02/2021 12:20:05,63.0,5.40,0.01,3.30,23.82,5.39,5.39,5.31,5.4379,
24/02/2021 12:25:06,63.0,5.41,0.02,3.30,30.38,5.39,5.39,5.31,5.4379,
24/02/2021 12:30:05,63.0,5.41,0.02,0.37,30.38,5.39,5.39,5.31,5.4379,
24/02/2021 12:35:05,63.0,5.41,0.02,3.30,30.38,5.39,5.39,5.31,5.4379,
24/02/2021 12:40:05,63.0,5.41,0.02,4.40,30.28,5.39,5.39,5.31,5.4379,
24/02/2021 12:45:04,63.0,5.43,0.04,4.40,30.44,5.39,5.39,5.31,5.4379,
24/02/2021 12:50:05,63.0,5.44,0.05,4.40,30.84,5.39,5.39,5.31,5.4423,
24/02/2021 12:55:05,63.0,5.44,0.05,4.40,30.84,5.39,5.39,5.31,5.4423,
24/02/2021 13:00:05,63.0,5.44,0.05,4.40,31.19,5.39,5.39,5.31,5.46,
24/02/2021 13:05:06,63.0,5.44,0.05,4.40,31.25,5.39,5.39,5.31,5.46,
24/02/2021 13:10:06,63.0,5.46,0.07,4.40,32.83,5.39,5.39,5.31,5.46,
24/02/2021 13:15:04,63.0,5.46,0.07,4.40,32.93,5.39,5.39,5.31,5.46,
24/02/2021 13:20:05,63.0,5.46,0.07,4.40,32.93,5.39,5.39,5.31,5.46,
24/02/2021 13:25:05,63.0,5.46,0.07,4.40,34.58,5.39,5.39,5.31,5.46,
24/02/2021 13:30:05,63.0,5.45,0.06,4.40,33.3,5.39,5.39,5.31,5.46,
24/02/2021 13:35:05,63.0,5.45,0.06,4.40,33.3,5.39,5.39,5.31,5.46,
24/02/2021 13:40:04,63.0,5.45,0.06,4.40,33.5,5.39,5.39,5.31,5.46,
24/02/2021 13:45:04,63.0,5.46,0.07,4.40,38.18,5.39,5.39,5.31,5.4985,
24/02/2021 13:50:04,63.0,5.45,0.06,3.77,38.79,5.39,5.39,5.31,5.4985,
24/02/2021 13:55:06,63.0,5.49,0.10,3.77,38.91,5.39,5.39,5.31,5.4985,
24/02/2021 14:00:06,63.0,5.49,0.10,3.77,44.1,5.39,5.39,5.31,5.4985,
24/02/2021 14:05:05,63.0,5.49,0.10,3.77,45.5,5.39,5.39,5.31,5.4985,
24/02/2021 14:10:05,63.0,5.50,0.11,4.09,42.97,5.39,5.39,5.31,5.52,
24/02/2021 14:15:06,63.0,5.50,0.11,4.09,42.97,5.39,5.39,5.31,5.52,
24/02/2021 14:20:06,63.0,5.53,0.14,4.09,42.98,5.39,5.39,5.31,5.53,
24/02/2021 14:25:06,63.0,5.53,0.14,4.09,46.59,5.39,5.39,5.31,5.53,
24/02/2021 14:30:06,63.0,5.53,0.14,4.09,46.59,5.39,5.39,5.31,5.53,
24/02/2021 14:35:06,63.0,5.53,0.14,3.30,43.92,5.39,5.39,5.31,5.53,
24/02/2021 14:40:06,63.0,5.53,0.14,3.30,43.95,5.39,5.39,5.31,5.53,
24/02/2021 14:45:05,63.0,5.45,0.06,3.30,44.75,5.39,5.39,5.31,5.5381,
24/02/2021 14:50:05,63.0,5.45,0.06,3.77,44.75,5.39,5.39,5.31,5.5381,
24/02/2021 14:55:05,63.0,5.45,0.06,3.77,44.75,5.39,5.39,5.31,5.5381,
24/02/2021 15:00:05,63.0,5.45,0.06,3.62,45.02,5.39,5.39,5.31,5.5381,
24/02/2021 15:05:04,65.0,5.45,0.06,3.62,45.03,5.39,5.39,5.31,5.5381,
24/02/2021 15:10:05,65.0,5.45,0.06,3.62,45.03,5.39,5.39,5.31,5.5381,
24/02/2021 15:15:04,65.0,5.45,0.06,3.62,45.03,5.39,5.39,5.31,5.5381,
24/02/2021 15:20:05,65.0,5.45,0.06,3.62,45.13,5.39,5.39,5.31,5.5381,
24/02/2021 15:25:04,65.0,5.45,0.06,3.77,45.15,5.39,5.39,5.31,5.5381,
24/02/2021 15:30:04,65.0,5.45,0.06,3.77,45.16,5.39,5.39,5.31,5.5381,
