Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 02:05:07,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:10:07,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:15:05,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:20:06,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:25:04,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:30:07,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:35:07,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:40:06,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:45:06,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:50:05,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 02:55:05,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:00:06,52.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:05:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:10:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:15:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:20:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:25:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:30:05,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:35:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:40:05,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:45:06,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:50:07,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 03:55:07,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 04:00:09,56.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 04:05:06,60.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
27/02/2021 04:10:06,60.0,8.59,-0.02,-2.25,270.48,9.49,8.61,8.47,9.97,
