Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 03:00:11,93.0,21.90,-0.53,-2.36,0,21.87,2022.42,21.87,22.06,
01/03/2021 03:05:10,93.0,21.90,-0.53,-2.36,0,21.87,2022.42,21.87,22.06,
01/03/2021 03:10:10,93.0,21.90,-0.53,-2.36,0,21.87,2022.42,21.87,22.06,
01/03/2021 03:15:10,93.0,21.90,-0.53,-2.36,0,21.87,2022.42,21.87,22.06,
01/03/2021 03:20:11,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:25:08,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:30:12,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:35:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:40:09,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:45:11,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:50:08,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 03:55:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:00:14,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:05:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:10:11,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:15:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:20:12,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:25:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:30:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:35:11,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:40:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:45:10,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:50:12,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
01/03/2021 04:55:09,93.0,22.00,0.10,0.46,0,21.995,2021.90,21.995,21.995,
