Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 04:05:03,50.0,12.27,-0.02,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:10:08,50.0,12.27,-0.02,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:15:09,50.0,12.57,0.28,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:20:04,50.0,12.57,0.28,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:25:05,50.0,12.57,0.28,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:30:07,50.0,12.60,0.31,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:35:06,50.0,12.60,0.31,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:40:04,50.0,12.63,0.34,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:45:07,50.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:50:03,50.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 04:55:07,50.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:00:09,50.0,12.70,0.41,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:05:08,53.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:10:07,53.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:15:07,53.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:20:07,53.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:25:04,53.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:30:08,53.0,12.70,0.41,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:35:07,53.0,12.70,0.41,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:40:07,53.0,12.70,0.41,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:45:07,53.0,12.63,0.34,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:50:10,53.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 05:55:07,53.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:00:10,53.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:05:09,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:10:07,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:15:03,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:20:05,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:25:07,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:30:08,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:35:07,56.0,12.69,0.40,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:40:06,56.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:45:07,56.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:50:06,56.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 06:55:05,56.0,12.68,0.39,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:00:07,56.0,12.55,0.26,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:05:04,59.0,12.45,0.16,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:10:03,59.0,12.45,0.16,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:15:04,59.0,12.45,0.16,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:20:03,59.0,12.40,0.11,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:25:03,59.0,12.50,0.21,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:30:04,59.0,12.54,0.29,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:35:06,59.0,12.54,0.29,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:40:05,59.0,12.59,0.30,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:45:08,59.0,12.51,0.22,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:50:03,59.0,12.51,0.22,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 07:55:03,59.0,12.51,0.22,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:00:11,59.0,12.58,0.29,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:05:03,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:10:02,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:15:03,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:20:03,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:25:03,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:30:04,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:35:03,62.0,12.54,0.25,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:40:09,62.0,12.53,0.24,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:45:03,62.0,12.29,0.00,0.92,13550000.0,12.05,12.29,12.02,12.4,
01/03/2021 08:50:07,62.0,12.29,0.00,0.92,13550000.0,12.05,12.29,12.02,12.4,
