Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 03:05:07,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:10:07,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:15:08,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:20:07,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:25:09,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:30:09,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:35:08,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:40:08,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:45:08,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:50:07,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 03:55:09,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:00:10,50.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:05:09,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:10:09,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:15:08,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:20:08,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:25:10,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:30:08,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:35:09,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:40:08,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:45:08,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:50:09,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 04:55:07,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:00:09,54.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:05:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:10:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:15:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:20:07,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:25:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:30:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:35:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:40:07,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:45:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:50:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 05:55:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:00:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:05:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:10:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:15:07,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:20:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:25:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:30:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:35:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:40:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:45:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:50:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 06:55:06,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:00:13,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:05:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:10:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:15:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:20:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:25:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:30:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:35:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:40:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:45:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:50:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 07:55:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:00:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:05:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:10:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:15:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:20:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:25:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:30:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:35:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:45:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:50:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 08:55:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:00:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:05:12,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:10:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:15:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:20:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:25:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:30:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:35:11,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:40:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:45:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:50:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 09:55:07,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:00:12,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:05:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:10:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:15:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:20:09,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:25:08,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
28/02/2021 10:30:10,58.0,56.83,0.00,0.00,336.17,54.02,56.83,53.64,57.58,
