Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 03:05:08,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:10:11,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:15:10,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:20:10,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:25:09,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:30:08,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:35:09,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:40:08,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:45:09,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:50:10,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 03:55:08,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:00:13,50.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:05:07,51.0,15.91,0.05,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:10:07,51.0,16.00,0.14,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:15:10,51.0,16.00,0.14,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:20:12,51.0,16.00,0.14,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:25:09,51.0,15.81,-0.05,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:30:07,51.0,15.77,-0.09,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:35:08,51.0,15.76,-0.10,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:40:09,51.0,15.79,-0.07,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:45:08,51.0,15.81,-0.05,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:50:12,51.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 04:55:08,51.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:00:10,51.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:05:05,52.0,15.80,-0.06,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:10:07,52.0,15.70,-0.16,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:15:08,52.0,15.81,-0.05,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:20:09,52.0,15.81,-0.05,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:25:08,52.0,15.60,-0.26,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:30:11,52.0,15.60,-0.26,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:35:08,52.0,15.59,-0.27,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:40:10,52.0,15.59,-0.27,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:45:10,52.0,15.78,-0.08,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:50:08,52.0,15.60,-0.26,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 05:55:08,52.0,15.60,-0.26,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:00:06,52.0,15.60,-0.26,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:05:07,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:10:07,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:15:08,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:20:09,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:25:08,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:30:11,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:35:10,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:40:09,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:45:09,53.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:50:08,53.0,15.81,-0.05,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 06:55:09,53.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:00:06,53.0,15.77,-0.09,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:05:06,54.0,15.83,-0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:10:10,54.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:15:08,54.0,15.76,-0.10,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:20:08,54.0,15.76,-0.10,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:25:08,54.0,15.76,-0.10,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:30:10,54.0,15.79,-0.07,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:35:09,54.0,15.87,0.01,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:40:08,54.0,15.86,0.00,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:45:07,54.0,15.86,0.00,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:50:07,54.0,15.86,0.00,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 07:55:08,54.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:00:10,54.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:05:10,55.0,15.87,0.01,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:10:09,55.0,15.76,-0.10,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:15:09,55.0,15.80,-0.06,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:20:08,55.0,15.87,0.01,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:25:09,55.0,15.78,-0.08,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:30:08,55.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:35:11,55.0,15.82,-0.04,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:40:11,55.0,15.85,-0.01,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:45:09,55.0,15.93,0.07,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:50:10,55.0,15.94,0.08,0.44,17850000.0,15.44,15.86,15.31,16.0976,
04/03/2021 08:55:05,55.0,15.89,0.03,0.44,17850000.0,15.44,15.86,15.31,16.0976,
