Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 06:05:08,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:10:08,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:15:08,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:20:07,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:25:07,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:30:07,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:35:07,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:40:10,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:45:09,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:50:10,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 06:55:08,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:00:11,51.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:05:10,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:10:10,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:15:07,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:20:08,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:25:07,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:30:09,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:35:10,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:40:07,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:45:10,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:50:07,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 07:55:09,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:00:11,53.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:05:08,55.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:10:08,55.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:15:09,55.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:20:08,55.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:25:07,55.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
28/02/2021 08:30:09,55.0,354.99,1.14,1.17,4870000.0,357.08,353.85,347.12,359.39,
