Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 02:05:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:10:05,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:15:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:20:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:25:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:30:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:35:03,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:40:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:45:03,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:50:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 02:55:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:00:04,50.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:05:04,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:10:04,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:15:04,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:20:03,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:25:04,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:30:05,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:35:05,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:40:04,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:45:04,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:50:03,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 03:55:03,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:00:05,51.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:05:03,52.0,12.80,-0.35,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:10:03,52.0,13.15,0.00,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:15:03,52.0,13.02,-0.13,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:20:04,52.0,13.02,-0.13,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:25:04,52.0,13.02,-0.13,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:30:10,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:35:04,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:40:04,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:45:04,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:50:04,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 04:55:05,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:00:05,52.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:05:05,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:10:04,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:15:05,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:20:04,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:25:04,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:30:05,53.0,12.89,-0.26,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:35:05,53.0,12.89,-0.26,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:40:03,53.0,12.89,-0.26,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:45:05,53.0,12.90,-0.25,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:50:04,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 05:55:04,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:00:04,53.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:05:04,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:10:05,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:15:05,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:20:05,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:25:05,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:30:04,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:35:04,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:40:04,54.0,13.10,-0.05,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:45:05,54.0,13.10,-0.05,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:50:05,54.0,13.10,-0.05,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 06:55:04,54.0,13.10,-0.05,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:00:06,54.0,13.00,-0.15,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:05:06,55.0,12.90,-0.25,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:10:05,55.0,12.89,-0.26,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:15:05,55.0,12.89,-0.26,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:20:06,55.0,12.89,-0.26,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:25:05,55.0,12.98,-0.17,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:30:06,55.0,12.99,-0.16,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:35:06,55.0,13.02,-0.13,4.85,12890000.0,13.14,13.15,12.66,13.773,
24/02/2021 07:40:05,55.0,13.10,-0.05,4.85,12890000.0,13.14,13.15,12.66,13.773,
