Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 21:05:05,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:10:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:15:05,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:20:05,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:25:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:30:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:35:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:40:05,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:45:05,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:50:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 21:55:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:00:06,51.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:05:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:10:04,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:15:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:20:05,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:25:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:30:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:35:05,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:40:07,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:45:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:50:04,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 22:55:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:00:06,53.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:05:04,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:10:05,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:15:06,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:20:05,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:25:06,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:30:05,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:35:04,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:40:06,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:45:04,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:50:05,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
24/02/2021 23:55:06,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:00:07,54.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:05:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:15:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:20:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:25:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:30:04,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:35:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:40:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:45:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:50:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 00:55:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:00:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:05:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:10:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:15:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:20:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:25:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:30:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:35:07,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:40:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:45:05,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:50:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 01:55:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:00:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:05:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:10:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:15:07,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:20:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:25:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:30:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:35:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:40:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:45:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:50:04,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 02:55:06,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 03:00:07,56.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 03:05:05,57.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 03:10:04,57.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
25/02/2021 03:15:05,57.0,98.40,0.00,1.44,500.12,98.0,98.40,97.52,99.365,
