Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 03:05:03,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:10:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:15:03,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:20:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:25:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:30:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:35:05,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:40:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:45:03,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:50:03,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 03:55:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:00:04,52.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:05:03,57.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:10:03,57.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:15:03,57.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:20:04,57.0,149.95,0.40,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:25:03,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:30:03,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:35:04,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:40:04,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:45:03,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:50:04,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 04:55:03,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:00:04,57.0,149.80,0.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:05:03,62.0,150.00,0.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:10:04,62.0,150.00,0.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:15:04,62.0,150.00,0.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:20:03,62.0,150.00,0.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:25:04,62.0,150.00,0.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:30:03,62.0,150.12,0.57,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:35:04,62.0,150.12,0.57,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:40:05,62.0,150.12,0.57,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:45:04,62.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:50:04,62.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 05:55:05,62.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:00:04,62.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:05:04,67.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:10:03,67.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:15:04,67.0,150.60,0.95,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:20:04,67.0,150.87,2.06,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:25:04,67.0,152.00,2.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:30:03,67.0,152.00,2.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:35:04,67.0,152.00,2.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:40:04,67.0,152.20,2.65,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:45:03,67.0,152.01,2.46,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:50:04,67.0,152.01,2.46,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 06:55:03,67.0,152.01,2.46,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:00:04,67.0,151.09,1.54,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:05:03,72.0,150.99,1.44,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:10:04,72.0,150.99,1.44,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:15:03,72.0,151.49,1.94,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:20:03,72.0,151.49,1.94,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:25:03,72.0,150.50,0.95,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:30:04,72.0,150.40,0.85,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:35:04,72.0,150.53,0.98,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:40:04,72.0,151.19,1.64,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:45:03,72.0,151.19,1.64,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:50:05,72.0,150.48,0.93,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 07:55:04,72.0,151.07,1.52,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:00:06,72.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:05:04,75.0,151.20,1.65,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:10:04,75.0,151.38,1.83,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:15:04,75.0,151.40,1.85,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:20:06,75.0,151.40,1.85,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:25:05,75.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:30:05,75.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:35:04,75.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:40:04,75.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:45:05,75.0,150.80,1.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:50:05,75.0,150.80,1.25,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 08:55:04,75.0,150.63,1.08,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 09:00:04,75.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 09:05:05,78.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 09:10:04,78.0,151.00,1.45,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 09:15:04,78.0,150.85,1.30,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 09:20:05,78.0,150.60,1.05,-1.44,5630000.0,145.0,149.55,142.15,149.67,
24/02/2021 09:25:05,78.0,150.36,0.81,-1.44,5630000.0,145.0,149.55,142.15,149.67,
