Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 20:05:09,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:10:07,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:15:09,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:20:09,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:25:08,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:30:08,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:35:08,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:40:10,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:45:11,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:50:10,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 20:55:08,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:00:11,50.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:05:08,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:10:09,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:15:11,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:20:10,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:25:08,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:30:08,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:35:10,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:40:09,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:45:09,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:50:08,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 21:55:10,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:00:17,51.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:05:09,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:10:13,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:15:08,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:20:08,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:25:09,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:30:07,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:35:09,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:40:08,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:45:08,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:50:08,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 22:55:09,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:00:10,52.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:05:07,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:10:07,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:15:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:20:07,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:25:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:30:10,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:35:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:40:11,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:45:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:50:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
28/02/2021 23:55:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:00:12,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:05:12,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:10:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:15:07,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:20:10,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:25:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:30:12,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:35:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:40:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:45:11,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:50:12,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 00:55:10,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:00:15,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:05:10,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:10:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:15:08,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:20:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:25:11,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:30:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:35:09,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
01/03/2021 01:40:10,53.0,53.00,-0.19,-0.36,240.69,55.41,53.19,51.83,57.0,
