Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 08:05:07,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:10:07,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:15:08,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:20:08,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:25:09,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:30:07,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:35:08,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:40:09,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:45:08,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:50:10,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
04/03/2021 08:55:15,50.0,15.25,0.00,2.51,605.75,14.79,15.25,14.77,15.705,
