Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 15:05:10,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:10:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:15:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:20:09,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:25:10,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:30:09,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:35:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:40:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:45:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:50:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 15:55:07,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:00:09,51.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:05:09,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:10:11,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:15:08,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:20:07,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:25:07,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:30:06,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:35:07,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:40:09,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:45:10,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:50:08,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 16:55:07,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:00:13,66.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:05:08,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:10:07,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:15:11,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:20:10,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:30:10,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:35:07,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:40:08,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:45:08,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:50:07,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 17:55:09,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:00:11,74.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:05:09,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:10:08,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:15:18,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:20:08,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:25:10,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:30:10,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:35:09,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:40:09,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:45:10,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:50:10,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 18:55:09,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:00:10,82.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:05:08,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:10:08,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:15:10,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:20:09,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:25:10,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:30:08,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:35:08,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:40:09,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:45:10,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:50:08,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 19:55:07,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:00:13,90.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:05:10,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:10:11,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:15:07,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:20:08,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:25:07,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:30:08,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:35:09,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:40:10,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:45:09,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 20:55:10,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:00:13,96.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:05:07,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:10:09,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:15:07,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:20:07,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:25:08,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:30:07,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:35:05,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:40:09,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:45:10,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:50:07,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 21:55:07,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:00:12,109.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:05:09,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:10:09,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:15:10,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:20:08,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:25:07,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:30:10,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:35:11,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:40:09,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:45:09,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:50:08,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 22:55:09,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:00:14,114.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:05:09,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:10:09,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:15:09,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:20:09,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:25:10,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:30:09,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:35:08,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:40:10,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:45:10,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:50:09,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
28/02/2021 23:55:08,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:00:14,119.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:05:10,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:10:08,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:15:11,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:20:13,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:25:11,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:30:09,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:35:10,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:40:09,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:45:09,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:50:12,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 00:55:11,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:00:10,124.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:05:09,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:10:10,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:15:08,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:20:09,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:25:09,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:30:08,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:35:09,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:40:08,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:45:09,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:50:08,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 01:55:09,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:00:15,129.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:05:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:10:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:15:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:20:11,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:25:08,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:30:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:35:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:40:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:45:11,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:50:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 02:55:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:00:14,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:05:12,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:10:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:15:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:20:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:25:12,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:30:08,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:35:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:40:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:45:09,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:50:10,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 03:55:08,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:00:14,134.0,153.30,-1.51,-0.98,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:05:09,134.0,154.95,0.14,0.09,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:10:09,134.0,155.60,0.79,0.51,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:15:12,134.0,156.95,2.14,1.38,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:20:09,134.0,156.50,1.69,1.09,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:25:09,134.0,156.98,2.17,1.40,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:30:11,134.0,156.80,1.99,1.29,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:35:11,134.0,157.27,2.46,1.59,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:40:09,134.0,158.20,3.39,2.19,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:45:11,134.0,158.20,3.39,2.19,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:50:08,134.0,158.91,4.10,2.65,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 04:55:10,134.0,158.91,4.10,2.65,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 05:00:15,134.0,158.60,3.79,2.45,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 05:05:12,134.0,158.00,3.19,2.06,13450000.0,157.98,154.81,150.88,159.6,
01/03/2021 05:10:11,134.0,157.66,2.85,1.84,13450000.0,157.98,154.81,150.88,159.6,
