Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 14:05:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:10:07,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:15:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:20:07,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:25:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:30:08,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:35:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:40:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:45:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:50:10,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 14:55:09,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:00:08,50.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:05:08,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:10:08,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:15:07,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:20:09,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:25:09,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:30:08,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:35:09,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:40:09,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:45:10,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:50:08,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 15:55:07,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:00:13,55.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:05:08,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:10:08,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:15:07,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:20:10,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:25:08,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:30:09,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:35:08,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:40:10,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:45:11,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:50:08,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 16:55:08,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:00:13,60.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:05:13,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:10:07,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:15:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:20:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:30:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:35:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:40:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:45:07,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:50:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 17:55:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:00:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:05:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:10:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:15:14,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:20:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:25:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:30:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:35:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:40:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:45:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:50:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 18:55:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:00:16,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:05:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:10:12,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:15:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:20:12,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:25:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:30:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:35:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:40:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:45:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:50:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 19:55:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:00:15,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:05:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:10:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:15:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:20:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:25:12,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:30:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:35:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:40:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:45:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:50:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 20:55:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:00:15,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:05:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:10:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:15:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:20:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:25:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:30:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:35:12,65.0,414.52,0.00,0.00,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:40:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:45:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:50:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 21:55:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:00:16,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:05:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:10:13,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:15:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:20:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:25:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:30:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:35:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:40:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:45:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:50:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 22:55:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:00:12,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:05:08,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:10:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:15:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:20:10,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:25:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:30:12,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:35:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:40:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:45:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:50:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
28/02/2021 23:55:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
01/03/2021 00:00:13,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
01/03/2021 00:05:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
01/03/2021 00:10:09,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
01/03/2021 00:15:11,65.0,414.52,0.00,0.71,662.18,410.83,414.52,409.44,420.58,
