Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 18:05:04,50.0,232.90,-0.37,0.18,30170000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:10:03,50.0,232.61,-0.66,0.18,30170000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:15:04,50.0,232.88,-0.39,0.18,30170000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:20:04,50.0,232.40,-0.87,0.18,30180000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:25:03,50.0,232.40,-0.87,0.18,30180000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:30:03,50.0,232.48,-0.79,0.18,30180000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:35:03,50.0,232.31,-0.96,0.18,30190000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:40:04,50.0,232.80,-0.47,0.18,30190000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:45:04,50.0,232.40,-0.87,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:50:03,50.0,232.70,-0.57,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 18:55:03,50.0,232.85,-0.42,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:00:04,50.0,232.70,-0.57,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:05:04,56.0,233.09,-0.18,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:10:04,56.0,233.09,-0.18,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:15:04,56.0,232.90,-0.37,0.18,30200000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:20:04,56.0,233.00,-0.27,0.18,30210000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:25:04,56.0,233.05,-0.22,0.18,30210000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:30:04,56.0,232.99,-0.28,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:35:03,56.0,233.01,-0.26,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:40:04,56.0,233.20,-0.07,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:45:04,56.0,233.20,-0.07,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:50:03,56.0,233.00,-0.27,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 19:55:03,56.0,232.53,-0.74,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:00:04,56.0,232.26,-1.01,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:05:03,62.0,232.26,-1.01,0.18,30220000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:10:04,62.0,232.26,-1.01,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:15:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:20:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:25:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:30:03,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:35:03,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:40:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:45:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:50:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 20:55:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:00:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:05:03,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:10:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:15:03,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:20:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:25:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:30:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:35:03,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:40:03,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:45:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:50:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 21:55:04,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 22:00:05,62.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 22:05:04,63.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 22:10:04,63.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
23/02/2021 22:15:04,63.0,232.50,-0.77,0.18,30230000.0,230.325,233.27,228.73,234.83,
