Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 20:05:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:10:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:15:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:20:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:25:06,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:30:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:35:08,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:40:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:45:07,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:50:09,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 20:55:06,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:00:08,51.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:05:06,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:10:07,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:15:07,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:20:07,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:25:07,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:30:06,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:35:06,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:40:06,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:45:06,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:50:07,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 21:55:07,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:00:08,53.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:05:06,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:10:07,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:15:06,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:20:06,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:25:06,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:30:07,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:35:07,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:40:08,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:45:06,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:50:08,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 22:55:07,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:00:08,55.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:05:09,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:10:08,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:15:07,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:20:07,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:25:07,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:30:06,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:35:09,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:40:07,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:45:06,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:50:07,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
27/02/2021 23:55:07,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:00:11,57.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:05:07,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:10:06,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:15:07,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:20:06,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:25:08,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:30:07,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:35:08,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:40:08,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:45:08,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:50:07,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 00:55:07,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:00:08,59.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:05:08,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:10:08,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:15:07,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:20:07,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:25:07,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:30:06,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:35:07,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:40:07,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:45:08,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:50:08,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 01:55:08,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:00:09,61.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:05:06,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:10:06,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:15:07,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:20:06,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:25:07,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:30:06,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:35:07,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:40:08,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:45:06,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:50:08,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 02:55:07,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:00:12,63.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:05:07,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:10:06,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:15:07,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:20:06,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:25:08,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:30:08,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:35:07,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:40:06,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:45:07,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:50:07,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 03:55:06,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:00:08,65.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:05:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:10:06,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:15:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:20:08,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:25:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:30:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:35:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:40:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:45:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:50:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 04:55:07,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:00:08,67.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:05:06,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:10:07,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:15:06,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:20:08,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:25:06,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:30:09,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:35:07,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:40:08,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:45:08,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
28/02/2021 05:50:06,69.0,54.53,0.15,-3.39,10490000.0,55.46,54.38,54.18,55.84,
