Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,115.0,77.28,0.00,0.00,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 17:35:03,115.0,77.28,0.00,0.00,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 17:40:03,115.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 17:45:03,115.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 17:50:03,115.0,77.28,0.00,0.00,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 17:55:03,115.0,77.00,-0.28,-0.36,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:00:03,115.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:05:03,124.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:10:04,124.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:15:04,124.0,76.60,-0.68,-0.88,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:20:04,124.0,76.60,-0.68,-0.88,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:25:03,124.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:30:04,124.0,77.55,0.27,0.35,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:35:02,124.0,77.60,0.32,0.41,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:40:04,124.0,77.57,0.29,0.38,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:45:03,124.0,77.57,0.29,0.38,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:50:03,124.0,77.59,0.31,0.40,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 18:55:02,124.0,77.59,0.31,0.40,6730000.0,74.5,77.28,70.7038,77.37,
23/02/2021 19:00:04,124.0,77.59,0.31,0.40,6730000.0,74.5,77.28,70.7038,77.37,
