Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,87.0,49.72,0.61,1.24,141980000.0,45.62,49.11,41.66,49.67,
23/02/2021 17:35:03,87.0,49.72,0.61,1.24,141980000.0,45.62,49.11,41.66,49.67,
23/02/2021 17:40:04,87.0,49.75,0.64,1.30,142010000.0,45.62,49.11,41.66,49.67,
23/02/2021 17:45:03,87.0,49.74,0.63,1.28,142020000.0,45.62,49.11,41.66,49.67,
23/02/2021 17:50:04,87.0,49.86,0.75,1.53,142100000.0,45.62,49.11,41.66,49.67,
23/02/2021 17:55:03,87.0,49.95,0.84,1.71,142120000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:00:04,87.0,49.92,0.81,1.65,142140000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:05:04,88.0,49.94,0.83,1.69,142150000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:10:03,88.0,49.88,0.77,1.57,142170000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:15:04,88.0,49.85,0.74,1.51,142190000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:20:04,88.0,49.73,0.62,1.26,142210000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:25:04,88.0,49.75,0.64,1.30,142220000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:30:03,88.0,49.90,0.79,1.61,142240000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:35:03,88.0,49.78,0.67,1.36,142250000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:40:04,88.0,49.83,0.72,1.47,142270000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:45:04,88.0,49.90,0.79,1.61,142280000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:50:03,88.0,49.85,0.74,1.51,142290000.0,45.62,49.11,41.66,49.67,
23/02/2021 18:55:03,88.0,49.96,0.85,1.73,142300000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:00:04,88.0,49.99,0.88,1.79,142310000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:05:03,90.0,49.98,0.87,1.77,142320000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:10:04,90.0,49.95,0.84,1.71,142320000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:15:04,90.0,49.95,0.84,1.71,142340000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:20:04,90.0,50.00,0.89,1.81,142350000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:25:03,90.0,49.98,0.87,1.77,142360000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:30:03,90.0,50.00,0.89,1.81,142380000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:35:08,90.0,49.96,0.85,1.73,142410000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:40:03,90.0,49.98,0.87,1.77,142420000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:45:03,90.0,49.99,0.88,1.79,142430000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:50:03,90.0,49.97,0.86,1.75,142450000.0,45.62,49.11,41.66,49.67,
23/02/2021 19:55:03,90.0,49.96,0.85,1.73,142470000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:00:03,90.0,49.99,0.88,1.79,142480000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:05:03,92.0,49.99,0.88,1.79,142490000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:10:03,92.0,49.99,0.88,1.79,142500000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:15:04,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:20:04,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:25:04,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:30:03,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:35:03,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:40:03,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:45:03,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
23/02/2021 20:50:04,92.0,49.99,0.88,1.79,142540000.0,45.62,49.11,41.66,49.67,
