Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 07:05:04,50.0,11.86,0.60,5.33,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:10:04,50.0,11.88,0.62,5.51,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:15:04,50.0,11.88,0.62,5.51,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:20:04,50.0,11.88,0.62,5.51,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:25:05,50.0,11.83,0.57,5.06,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:30:04,50.0,11.87,0.61,5.42,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:35:05,50.0,11.87,0.61,5.42,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:40:05,50.0,11.93,0.67,5.95,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:45:05,50.0,11.90,0.64,5.68,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:50:03,50.0,11.93,0.67,5.95,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 07:55:04,50.0,11.97,0.71,6.31,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:00:07,50.0,12.00,0.74,6.57,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:05:04,53.0,12.02,0.76,6.75,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:10:04,53.0,12.05,0.79,7.02,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:15:04,53.0,12.08,0.82,7.28,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:20:05,53.0,12.12,0.86,7.64,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:25:04,53.0,12.06,0.80,7.10,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:35:04,53.0,11.99,0.73,6.48,45910000.0,10.72,11.26,9.6,11.9698,
24/02/2021 08:40:04,53.0,11.96,0.70,6.22,45910000.0,10.72,11.26,9.6,11.9698,
