Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 19:05:03,51.0,16.40,0.00,0.00,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:10:04,51.0,16.40,0.00,0.00,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:15:03,51.0,16.51,0.11,0.67,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:20:03,51.0,16.51,0.11,0.67,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:25:03,51.0,16.51,0.11,0.67,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:30:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:35:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:40:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:45:03,51.0,16.21,-0.19,-1.16,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:50:03,51.0,16.21,-0.19,-1.16,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 19:55:02,51.0,16.21,-0.19,-1.16,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:00:03,51.0,16.21,-0.19,-1.16,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:05:03,51.0,16.31,-0.09,-0.55,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:10:04,51.0,16.50,0.10,0.61,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:15:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:20:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:25:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:30:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:35:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:40:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:45:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:50:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 20:55:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:00:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:05:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:10:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:15:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:20:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:25:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:30:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:35:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:40:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:45:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:50:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 21:55:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:00:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:05:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:10:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:15:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:20:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:25:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:30:05,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:35:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:40:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:45:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:50:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 22:55:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:00:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:05:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:10:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:15:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:20:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:25:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:30:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:35:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:40:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:45:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:50:03,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
23/02/2021 23:55:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
24/02/2021 00:00:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
24/02/2021 00:05:04,51.0,16.54,0.14,0.85,4460000.0,16.58,16.40,13.6,16.63,
