Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 06:05:06,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:10:08,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:15:08,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:20:07,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:25:09,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:30:10,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:35:08,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:40:07,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:45:08,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:50:08,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 06:55:08,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:00:10,60.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:05:04,72.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:10:08,72.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:15:03,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:20:14,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:25:08,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:30:05,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:35:05,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:40:03,72.0,61.65,-0.65,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:45:03,72.0,61.65,-0.65,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:50:03,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 07:55:05,72.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:00:17,72.0,61.40,-0.90,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:05:09,84.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:10:07,84.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:15:09,84.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:20:08,84.0,62.30,0.00,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:25:09,84.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:30:08,84.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:35:10,84.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:40:12,84.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:45:10,84.0,61.68,-0.62,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:50:09,84.0,61.60,-0.70,6.90,3120000.0,62.12,62.30,61.46,63.48,
04/03/2021 08:55:15,84.0,61.60,-0.70,6.90,3120000.0,62.12,62.30,61.46,63.48,
