Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 23:05:08,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:10:10,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:15:07,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:20:08,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:25:09,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:30:10,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:35:09,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:40:11,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:45:11,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:50:09,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
28/02/2021 23:55:08,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:00:13,51.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:05:08,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:10:10,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:15:10,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:20:12,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:25:11,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:30:08,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:35:09,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:40:09,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:45:08,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:50:10,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 00:55:11,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:00:14,55.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:05:09,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:10:10,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:15:10,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:20:10,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:25:10,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:30:10,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:35:08,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:40:10,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:45:09,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:50:12,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 01:55:11,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:00:12,59.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:05:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:10:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:15:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:20:07,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:25:08,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:30:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:35:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:40:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:45:11,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:50:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 02:55:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:00:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:05:12,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:10:12,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:15:12,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:20:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:25:11,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:30:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:35:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:40:08,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:45:07,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:50:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 03:55:12,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:00:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:05:10,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:10:09,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:15:11,63.0,236.50,5.27,2.28,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:20:11,63.0,239.00,7.77,3.36,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:25:11,63.0,239.00,7.77,3.36,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:30:12,63.0,239.00,7.77,3.36,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:35:11,63.0,243.69,12.46,5.39,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:40:10,63.0,243.69,12.46,5.39,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:45:09,63.0,243.69,12.46,5.39,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:50:09,63.0,240.00,8.77,3.79,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 04:55:11,63.0,240.00,8.77,3.79,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:00:11,63.0,240.00,8.77,3.79,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:05:10,63.0,240.00,8.77,3.79,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:10:11,63.0,240.00,8.77,3.79,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:15:12,63.0,241.99,10.76,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:20:12,63.0,241.99,10.76,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:25:10,63.0,241.98,10.75,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:30:08,63.0,241.98,10.75,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:35:10,63.0,241.98,10.75,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:40:10,63.0,241.89,10.66,4.61,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:45:11,63.0,241.89,10.66,4.61,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:50:11,63.0,241.98,10.75,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 05:55:11,63.0,241.98,10.75,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 06:00:13,63.0,241.98,10.75,4.65,2030000.0,225.5,231.23,217.87,233.4399,
01/03/2021 06:05:09,65.0,241.50,10.27,4.44,2030000.0,225.5,231.23,217.87,233.4399,
