Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 20:05:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:10:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:15:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:20:04,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:25:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:30:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:35:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:40:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:45:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:50:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 20:55:03,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:00:04,50.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:05:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:10:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:15:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:20:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:25:04,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:30:04,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:35:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:40:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:45:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:50:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 21:55:03,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:00:04,55.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:05:02,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:10:04,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:15:04,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:20:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:25:04,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:30:04,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:35:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:40:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:45:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:50:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 22:55:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:00:03,60.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:05:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:10:04,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:15:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:20:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:25:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:30:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:35:04,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:40:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:45:03,63.0,567.15,1.47,0.26,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:50:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
23/02/2021 23:55:03,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:00:04,63.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:05:03,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:10:03,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:15:03,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:20:04,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:25:04,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:30:03,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:35:04,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:40:03,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:45:04,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:50:03,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 00:55:04,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:00:04,66.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:05:04,69.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:10:04,69.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:15:03,69.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:20:04,69.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:25:04,69.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
24/02/2021 01:30:04,69.0,567.15,1.47,-0.74,9790000.0,563.01,565.68,535.58,569.55,
