Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 07:05:12,52.0,11.34,0.39,3.56,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:10:12,52.0,11.20,0.25,2.28,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:20:07,52.0,11.21,0.26,2.37,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:25:11,52.0,11.14,0.19,1.74,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:30:09,52.0,11.23,0.28,2.56,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:35:09,52.0,11.16,0.21,1.92,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:40:09,52.0,11.12,0.17,1.55,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:45:09,52.0,11.14,0.19,1.74,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:50:08,52.0,11.20,0.25,2.28,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 07:55:11,52.0,11.28,0.33,3.01,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:00:15,52.0,11.37,0.42,3.84,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:05:10,54.0,11.22,0.27,2.47,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:10:11,54.0,11.23,0.28,2.56,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:15:10,54.0,11.24,0.29,2.65,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:20:09,54.0,11.48,0.53,4.84,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:25:09,54.0,11.41,0.46,4.20,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:30:09,54.0,11.39,0.44,4.02,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:35:11,54.0,11.46,0.51,4.66,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:40:11,54.0,11.39,0.44,4.02,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:45:10,54.0,11.34,0.39,3.56,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:50:11,54.0,11.32,0.37,3.38,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 08:55:10,54.0,11.26,0.31,2.83,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:00:15,54.0,11.30,0.35,3.20,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:05:10,56.0,11.15,0.20,1.83,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:10:09,56.0,11.14,0.19,1.74,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:15:10,56.0,10.80,-0.15,-1.37,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:20:08,56.0,10.72,-0.23,-2.10,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:25:09,56.0,10.61,-0.34,-3.11,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:30:10,56.0,10.95,2.95,36.88,95880000.0,8.05,10.95,7.62,11.95,
01/03/2021 09:35:04,56.0,10.67,-0.28,-2.57,1500000.0,10.7235,10.95,10.12,10.73,
01/03/2021 09:40:11,56.0,10.16,-0.79,-7.22,2340000.0,10.7235,10.95,10.11,10.73,
01/03/2021 09:45:09,56.0,10.52,-0.43,-3.93,6170000.0,10.7235,10.95,10.11,10.77,
01/03/2021 09:50:08,56.0,10.12,-0.84,-7.63,7010000.0,10.7235,10.95,10.08,10.77,
01/03/2021 09:55:13,56.0,10.29,-0.66,-6.07,8220000.0,10.7235,10.95,10.03,10.77,
01/03/2021 10:00:13,56.0,10.16,-0.79,-7.22,8870000.0,10.7235,10.95,10.03,10.77,
01/03/2021 10:05:08,58.0,10.11,-0.84,-7.67,9560000.0,10.7235,10.95,10.03,10.77,
01/03/2021 10:10:09,58.0,10.28,-0.67,-6.12,10270000.0,10.7235,10.95,10.02,10.77,
01/03/2021 10:15:10,58.0,10.24,-0.71,-6.48,10800000.0,10.7235,10.95,10.02,10.77,
01/03/2021 10:20:11,58.0,10.12,-0.83,-7.58,11340000.0,10.7235,10.95,10.02,10.77,
01/03/2021 10:25:10,58.0,10.16,-0.79,-7.21,11930000.0,10.7235,10.95,10.02,10.77,
01/03/2021 10:30:10,58.0,9.89,-1.06,-9.68,13090000.0,10.7235,10.95,9.81,10.77,
01/03/2021 10:35:08,58.0,10.04,-0.91,-8.32,13770000.0,10.7235,10.95,9.81,10.77,
01/03/2021 10:40:11,58.0,9.94,-1.01,-9.22,14270000.0,10.7235,10.95,9.81,10.77,
01/03/2021 10:45:12,58.0,10.07,-0.88,-8.04,15140000.0,10.7235,10.95,9.81,10.77,
01/03/2021 10:50:08,58.0,10.02,-0.93,-8.50,15620000.0,10.7235,10.95,9.81,10.77,
01/03/2021 10:55:09,58.0,9.99,-0.96,-8.77,15990000.0,10.7235,10.95,9.81,10.77,
01/03/2021 11:00:09,58.0,10.00,-0.96,-8.72,16360000.0,10.7235,10.95,9.81,10.77,
01/03/2021 11:05:17,60.0,9.90,-1.06,-9.63,16670000.0,10.7235,10.95,9.81,10.77,
01/03/2021 11:10:11,60.0,9.85,-1.10,-10.05,17080000.0,10.7235,10.95,9.77,10.77,
01/03/2021 11:15:09,60.0,9.83,-1.12,-10.23,17440000.0,10.7235,10.95,9.75,10.77,
01/03/2021 11:20:11,60.0,9.75,-1.20,-10.96,17870000.0,10.7235,10.95,9.71,10.77,
01/03/2021 11:25:12,60.0,9.58,-1.37,-12.51,18760000.0,10.7235,10.95,9.56,10.77,
01/03/2021 11:30:09,60.0,9.38,-1.57,-14.34,19910000.0,10.7235,10.95,9.23,10.77,
