Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 12:05:06,53.0,211.18,-5.51,-1.51,119.11,214.22,216.69,210.2971,216.0,
25/02/2021 12:10:06,53.0,211.36,-5.33,-1.66,126.35,214.22,216.69,210.2971,216.0,
25/02/2021 12:15:06,53.0,211.33,-5.36,-1.57,137.08,214.22,216.69,210.2971,216.0,
25/02/2021 12:20:06,53.0,211.05,-5.65,-1.60,140.45,214.22,216.69,210.2971,216.0,
25/02/2021 12:25:05,53.0,210.65,-6.04,-1.28,142.92,214.22,216.69,210.24,216.0,
25/02/2021 12:30:05,53.0,209.79,-6.91,-1.56,147.91,214.22,216.69,209.785,216.0,
25/02/2021 12:35:07,53.0,208.99,-7.70,-1.61,148.11,214.22,216.69,208.135,216.0,
25/02/2021 12:40:05,53.0,209.55,-7.14,-1.67,150.9,214.22,216.69,208.135,216.0,
25/02/2021 12:45:05,53.0,209.12,-7.57,-1.73,153.13,214.22,216.69,208.135,216.0,
25/02/2021 12:50:07,53.0,208.90,-7.79,-1.76,156.11,214.22,216.69,208.135,216.0,
25/02/2021 12:55:05,53.0,209.11,-7.58,-2.14,182.25,214.22,216.69,208.135,216.0,
25/02/2021 13:00:06,53.0,208.00,-8.69,-2.20,196.01,214.22,216.69,207.7,216.0,
25/02/2021 13:05:07,53.0,207.64,-9.05,-2.31,197.91,214.22,216.69,207.005,216.0,
25/02/2021 13:10:06,53.0,208.60,-8.09,-2.08,218.82,214.22,216.69,207.005,216.0,
25/02/2021 13:15:07,53.0,209.68,-7.01,-1.82,222.51,214.22,216.69,207.005,216.0,
25/02/2021 13:20:05,53.0,209.75,-6.94,-1.82,226.46,214.22,216.69,206.78,216.0,
25/02/2021 13:25:07,53.0,211.44,-5.25,-1.72,230.63,214.22,216.69,206.78,216.0,
25/02/2021 13:30:08,53.0,211.34,-5.35,-1.82,232.2,214.22,216.69,206.78,216.0,
25/02/2021 13:35:05,53.0,210.71,-5.99,-2.01,234.86,214.22,216.69,206.78,216.0,
25/02/2021 13:40:05,53.0,210.54,-6.15,-1.96,235.8,214.22,216.69,206.78,216.0,
25/02/2021 13:45:05,53.0,210.93,-5.76,-1.90,240.1,214.22,216.69,206.78,216.0,
25/02/2021 13:50:05,53.0,210.73,-5.96,-1.86,242.22,214.22,216.69,206.78,216.0,
25/02/2021 13:55:06,53.0,210.55,-6.14,-2.05,249.72,214.22,216.69,206.78,216.0,
25/02/2021 14:00:08,53.0,210.54,-6.15,-1.91,251.69,214.22,216.69,206.78,216.0,
25/02/2021 14:05:04,53.0,211.06,-5.63,-1.62,253.84,214.22,216.69,206.78,216.0,
25/02/2021 14:10:07,53.0,211.55,-5.15,-1.50,257.6,214.22,216.69,206.78,216.0,
25/02/2021 14:15:07,53.0,212.71,-3.98,-1.60,260.74,214.22,216.69,206.78,216.0,
25/02/2021 14:20:05,53.0,213.37,-3.32,-1.51,263.34,214.22,216.69,206.78,216.0,
25/02/2021 14:25:07,53.0,213.59,-3.10,-1.48,266.54,214.22,216.69,206.78,216.0,
25/02/2021 14:30:06,53.0,213.39,-3.30,-1.49,272.8,214.22,216.69,206.78,216.0,
25/02/2021 14:35:07,53.0,212.95,-3.75,-1.57,278.88,214.22,216.69,206.78,216.0,
25/02/2021 14:40:07,53.0,211.70,-5.00,-1.59,282.13,214.22,216.69,206.78,216.0,
25/02/2021 14:45:07,53.0,211.99,-4.70,-1.63,286.9,214.22,216.69,206.78,216.0,
25/02/2021 14:50:07,53.0,211.35,-5.34,-1.69,289.5,214.22,216.69,206.78,216.0,
25/02/2021 14:55:06,53.0,211.31,-5.38,-1.72,292.93,214.22,216.69,206.78,216.0,
25/02/2021 15:00:07,53.0,211.58,-5.12,-1.78,294.55,214.22,216.69,206.78,216.0,
25/02/2021 15:05:08,53.0,210.96,-5.73,-1.80,297.04,214.22,216.69,206.78,216.0,
25/02/2021 15:10:06,53.0,209.40,-7.29,-2.10,302.17,214.22,216.69,206.78,216.0,
25/02/2021 15:15:06,53.0,210.52,-6.17,-1.97,309.13,214.22,216.69,206.78,216.0,
25/02/2021 15:20:07,53.0,210.31,-6.38,-2.15,312.68,214.22,216.69,206.78,216.0,
25/02/2021 15:25:06,53.0,210.11,-6.59,-2.31,321.94,214.22,216.69,206.78,216.0,
25/02/2021 15:30:07,53.0,210.00,-6.69,-2.45,327.82,214.22,216.69,206.78,216.0,
25/02/2021 15:35:07,53.0,209.37,-7.33,-2.45,336.65,214.22,216.69,206.78,216.0,
25/02/2021 15:40:06,53.0,208.41,-8.29,-2.32,345.52,214.22,216.69,206.78,216.0,
25/02/2021 15:45:07,53.0,209.13,-7.57,-2.08,350.97,214.22,216.69,206.78,216.0,
25/02/2021 15:50:07,53.0,208.59,-8.10,-1.93,363.24,214.22,216.69,206.78,216.0,
25/02/2021 15:55:07,53.0,208.10,-8.59,-2.15,379.84,214.22,216.69,206.78,216.0,
25/02/2021 16:00:10,53.0,207.91,0.00,-2.28,414.87,214.22,207.91,206.78,216.0,
25/02/2021 16:05:11,53.0,222.38,14.47,-2.28,446.67,214.22,207.91,206.78,216.0,
25/02/2021 16:10:05,53.0,207.93,0.02,-2.28,469.69,214.22,207.91,206.78,216.0,
25/02/2021 16:15:08,53.0,209.00,1.09,-2.30,446.38,214.22,207.91,206.78,216.0,
25/02/2021 16:20:07,53.0,209.00,1.09,-2.30,446.75,214.22,207.91,206.78,216.0,
25/02/2021 16:25:08,53.0,209.00,1.09,-2.30,446.76,214.22,207.91,206.78,216.0,
25/02/2021 16:30:07,53.0,214.10,6.19,-2.30,446.92,214.22,207.91,206.78,216.0,
25/02/2021 16:35:08,53.0,210.68,2.77,-2.30,447.67,214.22,207.91,206.78,216.0,
25/02/2021 16:40:08,53.0,214.22,6.31,-2.30,447.69,214.22,207.91,206.78,216.0,
25/02/2021 16:45:07,53.0,207.91,0.00,-2.30,447.99,214.22,207.91,206.78,216.0,
25/02/2021 16:50:08,53.0,207.91,0.00,-2.30,448,214.22,207.91,206.78,216.0,
25/02/2021 16:55:06,53.0,211.00,3.09,-2.30,448,214.22,207.91,206.78,216.0,
