Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 01:05:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:10:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:15:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:20:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:25:05,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:30:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:35:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:40:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:45:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:50:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 01:55:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:00:04,52.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:05:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:10:05,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:15:05,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:20:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:25:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:30:05,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:35:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:40:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:45:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:50:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 02:55:04,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
24/02/2021 03:00:05,53.0,62.30,0.04,0.06,458.46,63.27,62.26,60.6839,63.53,
