Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 01:05:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:10:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:15:03,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:20:03,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:25:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:30:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:35:05,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:40:03,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:45:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:50:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 01:55:05,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:00:04,53.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:05:03,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:10:05,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:15:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:20:05,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:25:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:30:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:35:03,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:40:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:45:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:50:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 02:55:05,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
24/02/2021 03:00:04,55.0,10.76,-0.03,-0.28,1450000.0,10.75,10.79,10.57,10.89,
