Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 14:05:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:10:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:15:07,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:20:08,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:25:06,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:30:06,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:35:08,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:40:07,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:45:08,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:50:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 14:55:07,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:00:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:05:06,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:10:07,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:15:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:20:08,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:25:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:30:07,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:35:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:40:08,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:45:07,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:50:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 15:55:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:00:09,55.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:05:09,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:10:07,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:15:10,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:20:08,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:25:07,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:30:08,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:35:09,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:40:09,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:45:08,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:50:07,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
27/02/2021 16:55:07,61.0,7.98,0.05,-4.61,60630000.0,8.32,7.93,7.85,8.32,
