Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 07:05:05,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:10:06,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:15:05,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:20:06,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:25:06,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:30:04,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:35:05,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:40:06,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:45:05,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:50:05,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 07:55:05,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:00:07,50.0,30.63,-0.09,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:05:04,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:10:06,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:15:06,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:20:06,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:25:05,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:30:06,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:35:06,52.0,30.72,0.00,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:40:05,52.0,30.83,0.11,0.19,3500000.0,30.47,30.72,30.13,30.775,
24/02/2021 08:45:06,52.0,30.83,0.11,0.19,3500000.0,30.47,30.72,30.13,30.775,
