Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 16:05:07,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:10:07,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:15:06,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:20:09,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:25:08,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:30:06,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:35:08,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:40:09,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:45:08,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:50:07,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 16:55:08,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:00:09,52.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:10:07,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:15:09,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:20:09,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:25:08,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:30:07,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:35:07,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:40:08,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:45:08,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:50:08,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 17:55:08,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:00:08,56.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:05:08,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:10:08,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:15:09,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:20:09,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:25:08,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:30:06,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:35:09,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:40:09,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:45:07,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:50:09,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 18:55:08,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:00:10,60.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:05:07,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:10:09,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:15:07,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:20:09,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:25:07,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:30:08,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:35:10,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
27/02/2021 19:40:07,62.0,129.24,0.05,-0.31,8330000.0,130.57,129.19,128.57,130.87,
