Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 05:05:04,51.0,85.02,0.46,0.54,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:10:04,51.0,85.02,0.46,0.54,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:15:04,51.0,85.02,0.46,0.54,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:20:04,51.0,85.45,0.89,1.05,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:25:05,51.0,84.80,0.24,0.28,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:30:05,51.0,84.79,0.23,0.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:35:03,51.0,84.64,0.08,0.09,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:40:05,51.0,84.80,0.24,0.28,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:45:04,51.0,84.80,0.24,0.28,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:50:03,51.0,84.79,0.23,0.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 05:55:04,51.0,84.79,0.23,0.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:00:04,51.0,84.79,0.23,0.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:05:04,53.0,84.79,0.23,0.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:10:04,53.0,84.60,0.04,0.05,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:15:04,53.0,84.60,0.04,0.05,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:20:05,53.0,84.60,0.04,0.05,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:25:05,53.0,84.51,-0.05,-0.06,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:30:04,53.0,84.51,-0.05,-0.06,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:35:05,53.0,84.51,-0.05,-0.06,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:40:05,53.0,84.51,-0.05,-0.06,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:45:05,53.0,84.51,-0.05,-0.06,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:50:04,53.0,84.77,0.21,0.25,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 06:55:04,53.0,84.77,0.21,0.25,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:00:06,53.0,84.76,0.20,0.24,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:05:04,55.0,84.75,0.19,0.22,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:10:04,55.0,84.80,0.24,0.28,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:15:05,55.0,84.79,0.23,0.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:20:05,55.0,84.80,0.24,0.28,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:25:04,55.0,84.75,0.19,0.22,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:30:05,55.0,85.17,0.61,0.72,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:35:05,55.0,85.00,0.44,0.52,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:40:06,55.0,84.96,0.40,0.47,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:45:05,55.0,85.15,0.59,0.70,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:50:04,55.0,85.19,0.63,0.75,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 07:55:05,55.0,85.17,0.61,0.72,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:00:07,55.0,85.00,0.44,0.52,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:05:05,55.0,85.51,0.95,1.12,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:10:05,55.0,85.33,0.77,0.91,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:15:05,55.0,85.50,0.94,1.11,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:20:06,55.0,85.64,1.08,1.28,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:25:05,55.0,85.16,0.60,0.71,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:30:06,55.0,85.05,0.49,0.58,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:35:05,55.0,85.51,0.95,1.12,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:40:06,55.0,85.50,0.94,1.11,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:45:06,55.0,85.00,0.44,0.52,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:50:05,55.0,84.70,0.14,0.17,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 08:55:04,55.0,84.00,-0.56,-0.66,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:00:07,55.0,83.35,-1.21,-1.43,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:05:06,55.0,83.49,-1.07,-1.27,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:10:05,55.0,83.75,-0.81,-0.96,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:15:05,55.0,83.70,-0.86,-1.02,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:20:06,55.0,83.50,-1.06,-1.25,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:25:05,55.0,82.80,-1.76,-2.08,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:30:06,55.0,84.56,3.57,4.41,20290000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:35:05,55.0,82.72,1.73,2.14,20410000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:40:05,55.0,83.41,2.42,2.99,20490000.0,74.35,84.56,70.6,84.93,
24/02/2021 09:45:05,55.0,82.36,1.37,1.69,400.63,74.35,84.56,70.6,84.93,
24/02/2021 09:50:06,55.0,83.40,-1.16,-1.37,801.66,83.85,84.56,82.2,84.47,
24/02/2021 09:55:06,55.0,83.41,-1.16,-1.37,991.34,83.85,84.56,82.2,84.47,
24/02/2021 10:00:06,55.0,82.79,-1.77,-2.09,1160000.0,83.85,84.56,82.2,84.47,
24/02/2021 10:05:05,55.0,81.72,-2.84,-3.36,1330000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:10:06,55.0,81.81,-2.75,-3.25,1480000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:15:06,55.0,82.08,-2.49,-2.94,1610000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:20:06,55.0,82.67,-1.89,-2.24,1830000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:25:06,55.0,82.81,-1.76,-2.08,2000000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:30:06,55.0,83.56,-1.00,-1.18,2160000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:35:06,55.0,83.69,-0.87,-1.03,2300000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:40:06,55.0,83.77,-0.79,-0.93,2410000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:46:15,55.0,83.95,-0.61,-0.72,2900000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:50:07,55.0,84.31,-0.25,-0.30,3010000.0,83.85,84.56,81.52,84.47,
24/02/2021 10:54:38,55.0,84.38,-0.18,-0.21,3150000.0,83.85,84.56,81.52,84.535,
24/02/2021 10:55:06,55.0,84.44,-0.12,-0.14,3160000.0,83.85,84.56,81.52,84.535,
24/02/2021 11:00:06,55.0,84.62,0.06,0.07,3440000.0,83.85,84.56,81.52,85.06,
24/02/2021 11:05:05,55.0,85.10,0.54,0.64,3580000.0,83.85,84.56,81.52,85.14,
24/02/2021 11:10:05,55.0,84.68,0.12,0.14,3710000.0,83.85,84.56,81.52,85.16,
24/02/2021 11:15:06,55.0,84.95,0.39,0.46,3890000.0,83.85,84.56,81.52,85.16,
24/02/2021 11:20:04,55.0,84.88,0.32,0.38,4060000.0,83.85,84.56,81.52,85.16,
24/02/2021 11:25:04,55.0,84.98,0.42,0.50,4190000.0,83.85,84.56,81.52,85.16,
24/02/2021 11:30:05,55.0,84.96,0.40,0.47,4440000.0,83.85,84.56,81.52,85.21,
24/02/2021 11:35:05,55.0,84.97,0.41,0.48,4520000.0,83.85,84.56,81.52,85.21,
24/02/2021 11:40:05,55.0,84.50,-0.06,-0.07,4630000.0,83.85,84.56,81.52,85.21,
24/02/2021 11:45:05,55.0,84.34,-0.22,-0.26,4740000.0,83.85,84.56,81.52,85.21,
24/02/2021 11:50:04,55.0,85.04,0.48,0.57,4860000.0,83.85,84.56,81.52,85.21,
24/02/2021 11:55:05,55.0,84.86,0.30,0.35,4940000.0,83.85,84.56,81.52,85.21,
24/02/2021 12:00:06,55.0,85.11,0.55,0.65,5030000.0,83.85,84.56,81.52,85.21,
24/02/2021 12:05:06,55.0,85.28,0.72,0.85,5140000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:10:05,55.0,84.87,0.31,0.37,5240000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:15:05,55.0,84.97,0.41,0.49,5310000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:20:05,55.0,85.02,0.46,0.54,5420000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:25:05,55.0,84.96,0.39,0.47,5520000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:30:05,55.0,85.03,0.47,0.56,5590000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:35:06,55.0,85.17,0.61,0.73,5660000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:40:05,55.0,85.25,0.69,0.82,5750000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:45:05,55.0,84.88,0.32,0.38,5810000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:50:06,55.0,84.82,0.26,0.31,5870000.0,83.85,84.56,81.52,85.4,
24/02/2021 12:55:05,55.0,84.78,0.22,0.26,5940000.0,83.85,84.56,81.52,85.4,
24/02/2021 13:00:05,55.0,84.53,-0.03,-0.04,5990000.0,83.85,84.56,81.52,85.4,
24/02/2021 13:05:06,55.0,84.25,-0.31,-0.37,6030000.0,83.85,84.56,81.52,85.4,
24/02/2021 13:10:05,55.0,84.76,0.20,0.24,6090000.0,83.85,84.56,81.52,85.4,
24/02/2021 13:15:05,55.0,84.70,0.14,0.17,6140000.0,83.85,84.56,81.52,85.4,
24/02/2021 13:20:06,55.0,84.64,0.08,0.09,6190000.0,83.85,84.56,81.52,85.4,
24/02/2021 13:25:05,55.0,84.46,-0.10,-0.12,6250000.0,83.85,84.56,81.52,85.4,
