Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:42,196.0,26.95,0.20,0.75,144280000.0,25.96,26.75,23.9,27.46,
23/02/2021 17:35:02,196.0,26.96,0.21,0.79,144290000.0,25.96,26.75,23.9,27.46,
23/02/2021 17:40:03,196.0,26.95,0.20,0.75,144310000.0,25.96,26.75,23.9,27.46,
23/02/2021 17:45:03,196.0,26.95,0.20,0.75,144340000.0,25.96,26.75,23.9,27.46,
23/02/2021 17:50:03,196.0,26.89,0.14,0.52,144360000.0,25.96,26.75,23.9,27.46,
23/02/2021 17:55:03,196.0,26.80,0.05,0.19,144370000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:00:03,196.0,26.85,0.10,0.37,144390000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:05:03,204.0,26.86,0.11,0.41,144420000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:10:04,204.0,26.87,0.12,0.45,144490000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:15:03,204.0,26.88,0.13,0.49,144520000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:20:03,204.0,26.84,0.09,0.34,144540000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:25:03,204.0,26.83,0.08,0.30,144560000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:30:03,204.0,26.81,0.06,0.22,144570000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:35:03,204.0,26.85,0.10,0.37,144600000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:40:03,204.0,27.00,0.25,0.93,144620000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:45:03,204.0,27.10,0.35,1.31,144640000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:50:03,204.0,27.10,0.35,1.31,144650000.0,25.96,26.75,23.9,27.46,
23/02/2021 18:55:03,204.0,27.21,0.46,1.72,144710000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:00:04,204.0,27.27,0.52,1.94,144750000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:05:03,213.0,27.34,0.59,2.21,144770000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:10:03,213.0,27.20,0.45,1.68,144830000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:15:03,213.0,27.15,0.40,1.50,144860000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:20:03,213.0,27.12,0.37,1.38,144910000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:25:03,213.0,27.10,0.35,1.31,144980000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:30:03,213.0,27.00,0.25,0.93,145000000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:35:03,213.0,27.10,0.35,1.31,145050000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:40:03,213.0,27.12,0.37,1.38,145080000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:45:03,213.0,27.19,0.44,1.64,145130000.0,25.96,26.75,23.9,27.46,
23/02/2021 19:50:03,213.0,27.11,0.36,1.35,145170000.0,25.96,26.75,23.9,27.46,
