Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 22:05:06,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:10:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:15:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:20:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:25:08,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:30:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:35:04,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:40:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:45:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:50:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 22:55:05,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:00:06,52.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:05:08,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:10:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:15:06,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:20:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:25:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:30:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:35:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:40:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:45:04,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:50:06,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
24/02/2021 23:55:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:00:05,56.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:05:04,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:10:05,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:15:05,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:20:04,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:25:05,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:30:04,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:35:06,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:40:05,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:45:03,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:50:05,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 00:55:05,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:00:06,59.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:05:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:10:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:15:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:20:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:30:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:35:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:40:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:45:07,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:50:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 01:55:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:00:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:05:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:10:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:15:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:20:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:25:07,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:30:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:35:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:40:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:45:05,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:50:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 02:55:06,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:00:08,60.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:05:04,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:10:06,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:15:05,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:20:06,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:25:05,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:30:06,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:35:06,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:40:04,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:45:04,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:50:04,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 03:55:07,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:00:06,61.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:05:07,62.0,50.70,0.54,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:10:06,62.0,50.49,0.33,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:15:06,62.0,50.43,0.27,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:20:06,62.0,50.50,0.34,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:25:06,62.0,50.23,0.07,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:30:05,62.0,50.26,0.10,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:35:06,62.0,50.59,0.43,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:40:05,62.0,50.20,0.04,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:45:04,62.0,50.17,0.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:50:05,62.0,50.10,-0.06,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 04:55:04,62.0,49.93,-0.23,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:00:05,62.0,49.42,-0.74,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:05:05,62.0,49.30,-0.86,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:10:06,62.0,49.38,-0.78,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:15:07,62.0,49.69,-0.47,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:20:06,62.0,49.75,-0.41,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:25:06,62.0,49.71,-0.45,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:30:07,62.0,49.73,-0.43,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:35:06,62.0,49.89,-0.27,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:40:06,62.0,49.89,-0.27,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:45:06,62.0,49.95,-0.21,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:50:05,62.0,49.94,-0.22,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 05:55:06,62.0,49.90,-0.26,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:00:05,62.0,50.08,-0.08,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:05:07,63.0,50.00,-0.16,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:10:04,63.0,50.03,-0.13,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:15:05,63.0,50.75,0.59,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:20:06,63.0,51.48,1.32,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:25:06,63.0,48.94,-1.22,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:30:05,63.0,48.77,-1.39,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:35:06,63.0,49.20,-0.96,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:40:06,63.0,49.19,-0.97,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:45:06,63.0,49.33,-0.83,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:50:05,63.0,48.25,-1.91,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 06:55:05,63.0,48.03,-2.13,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:00:06,63.0,48.31,-1.85,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:05:06,64.0,48.47,-1.69,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:10:06,64.0,47.92,-2.24,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:15:06,64.0,47.59,-2.57,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:20:05,64.0,47.40,-2.76,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:25:06,64.0,47.34,-2.82,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:30:05,64.0,47.94,-2.22,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:35:08,64.0,47.52,-2.64,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:40:06,64.0,47.60,-2.56,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:45:06,64.0,48.15,-2.01,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:50:07,64.0,49.00,-1.16,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 07:55:06,64.0,48.13,-2.03,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:00:08,64.0,48.30,-1.86,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:05:06,65.0,48.11,-2.05,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:10:06,65.0,47.53,-2.63,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:15:05,65.0,47.60,-2.56,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:20:06,65.0,46.35,-3.81,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:25:06,65.0,46.22,-3.94,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:30:07,65.0,46.51,-3.65,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:35:06,65.0,46.78,-3.38,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:40:06,65.0,46.85,-3.31,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:45:07,65.0,47.18,-2.98,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:50:06,65.0,47.10,-3.06,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 08:55:06,65.0,46.45,-3.71,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:00:08,65.0,46.13,-4.03,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:05:07,66.0,44.55,-5.61,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:10:07,66.0,45.12,-5.04,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:15:07,66.0,46.02,-4.14,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:20:06,66.0,46.10,-4.06,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:25:07,66.0,46.42,-3.74,4.21,30000000.0,48.11,50.16,46.26,50.25,
25/02/2021 09:30:07,66.0,50.16,3.58,4.21,30000000.0,48.11,50.16,46.26,50.25,
