Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 20:05:03,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:10:03,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:15:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:20:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:25:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:30:03,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:35:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:40:03,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:45:03,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:50:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 20:55:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:00:04,51.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:05:03,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:10:03,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:15:03,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:20:04,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:25:04,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:30:04,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:35:03,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:40:03,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:45:04,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:50:04,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 21:55:04,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:00:05,55.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:05:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:10:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:15:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:20:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:25:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:30:05,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:35:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:40:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:45:03,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:50:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 22:55:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:00:04,58.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:05:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:10:03,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:15:03,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:20:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:25:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:30:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:35:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:40:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:45:04,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
23/02/2021 23:50:03,63.0,89.64,0.00,-1.37,37.49,89.0,89.64,87.385,90.43,
