Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 18:05:07,50.0,86.71,0.19,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:10:06,50.0,86.42,-0.10,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:15:06,50.0,86.42,-0.10,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:20:06,50.0,86.42,-0.10,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:25:05,50.0,86.32,-0.20,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:30:05,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:35:05,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:40:07,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:45:08,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:50:06,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 18:55:06,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:00:09,50.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:05:11,52.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:10:07,52.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:15:06,52.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:20:07,52.0,87.69,1.17,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:25:07,52.0,86.50,-0.02,-0.02,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:30:07,52.0,86.50,-0.02,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:35:06,52.0,86.50,-0.02,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:40:04,52.0,86.50,-0.02,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:45:05,52.0,86.50,-0.02,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:50:06,52.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 19:55:07,52.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:00:07,52.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:05:05,54.0,86.36,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:10:06,54.0,86.36,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:15:06,54.0,86.36,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:20:07,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:25:06,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:30:05,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:35:03,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:40:06,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:45:06,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:50:06,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 20:55:06,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:00:06,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:05:09,54.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:10:05,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:15:06,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:20:07,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:25:06,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:30:05,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:35:03,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:40:04,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:45:06,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:50:07,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 21:55:06,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:00:05,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:05:10,56.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:10:08,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:15:07,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:20:07,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:25:07,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:30:07,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:35:05,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:40:06,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:45:06,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:50:05,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 22:55:06,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:00:10,57.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:05:15,58.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:10:06,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:15:05,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:20:03,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:25:07,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:30:07,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:35:06,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:40:07,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:45:08,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
25/02/2021 23:50:05,59.0,86.25,-0.27,-2.99,3680000.0,87.0,86.52,86.39,87.925,
