Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 05:05:03,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:10:06,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:15:05,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:20:07,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:25:06,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:30:08,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:35:07,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:40:06,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:45:07,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:50:07,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 05:55:07,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:00:07,52.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:05:06,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:10:07,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:15:06,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:20:05,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:25:07,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:30:08,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:35:07,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:40:06,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:45:08,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:50:07,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 06:55:06,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:00:09,55.0,322.99,0.00,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:05:09,55.0,322.99,0.00,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:10:09,55.0,322.99,0.00,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:15:08,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:20:08,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:25:09,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:30:08,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
26/02/2021 07:35:09,55.0,324.00,1.01,-2.71,459.98,326.59,322.99,320.71,328.1,
