Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 03:05:06,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:10:07,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:15:05,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:20:06,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:25:05,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:30:06,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:35:06,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:40:05,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:45:05,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:50:06,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 03:55:06,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:00:08,50.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:05:06,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:10:06,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:15:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:20:05,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:25:06,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:30:06,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:35:06,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:40:05,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:45:05,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:50:20,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 04:55:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:00:41,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:05:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:10:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:15:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:20:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:25:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:30:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:35:10,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:40:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:45:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:50:07,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 05:55:07,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:00:10,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:05:07,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:10:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:15:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:20:08,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:25:10,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:30:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
27/02/2021 06:35:09,52.0,26.27,0.08,-1.90,9400000.0,27.06,26.19,26.15,27.07,
